10.1016/j.epsl.2018.10.016,"identiﬁed using several publications (see supplementary information), the African Pollen Database, and",Earth and Planetary Science Letters,The roles of climate and human land-use in the late Holocene rainforest crisis of Central Africa,African Pollen Database
10.1016/j.crte.2008.12.009,cm2 per year. The determination of 116 pollen taxa was made using the African Pollen Database reference,Comptes Rendus Geoscience,Climate and environmental change at the end of the Holocene Humid Period: A pollen record off Pakistan,African Pollen Database
10.1080/00291950310000776,"European Pollen Database (www.ngdc.noaa. gov/paleo/epd/epd-main.html), the African Pollen Database (www.medias.obs-mip.fr:8()(Xl/apd)",Norsk Geografisk Tidsskrift - Norwegian Journal of Geography,"Contributing to global change science: the ethics, obligations and opportunities of working with palaeoenvironmental databases",African Pollen Database
10.1016/j.quaint.2015.03.007,the amount of datable C partially was very small (see Table 2).  the African Pollen Database. Pollen,Quaternary International,When the desert was green: Grassland expansion during the early Holocene in northwestern Arabia,African Pollen Database
10.1016/j.epsl.2013.06.005,"281–298. Gajewski, K., Lezine, A.-M., Vincens, A., Delestan, A., Sawada, M., African Pollen Database, 2002.",Earth and Planetary Science Letters,Miocene to Pliocene changes in South African hydrology and vegetation in relation to the expansion of C4 plants,African Pollen Database
10.1016/j.palaeo.2015.02.002,"(1970), Ybert (1979), Bonneﬁlle and Riollet (1980), Scott (1982), the African Pollen Database http://apd.sedoo.fr","Palaeogeography, Palaeoclimatology, Palaeoecology","Miocene–Pliocene vegetation change in south-western Africa (ODP Site 1081, offshore Namibia)",African Pollen Database
10.1016/j.quascirev.2016.05.035,combination but only the ﬁrst count for each level could be accepted in the African Pollen Database (APD),Quaternary Science Reviews,"Fluctuations of vegetation and climate over the last 75 000 years in the Savanna Biome, South Africa: Tswaing Crater and Wonderkrater pollen sequences reviewed",African Pollen Database
10.1002/ece3.5955,"experiments. Windhoek: National Archives of Namibia. Leźine, A. M. (2005). African pollen database. Retrieved",Ecology and Evolution,Vegetation state changes in the course of shrub encroachment in an African savanna since about 1850 CE and their potential drivers,African Pollen Database
10.1016/j.revpalbo.2018.04.004,"201–248 https://doi.org/10.1007/978-94-007-2745-8. Leźine, A.M., 2005. African Pollen Database. URL.",Review of Palaeobotany and Palynology,Composition and diversity of vegetation and pollen spectra along gradients of grazing intensity and precipitation in southern Africa,African Pollen Database
10.1111/j.1095-8339.2010.01044.x,"ET AL.  Vincens A, Lézine A-M, Buchet G, Lewden D, Le Thomas A. 2007. African pollen database inventory",Botanical Journal of the Linnean Society,Detarieae sensu lato (Fabaceae) from the Late Oligocene (27.23 Ma) Guang River flora of north-western Ethiopia,African Pollen Database
10.1111/avsc.12133,"northwest Africa, we reviewed the Quaternary pollen data through the African Pollen Database (http://apd.sedoo.fr/apd/accueil.htm),",Applied Vegetation Science,Long-term climate forcings to assess vulnerability in North Africa dry argan woodlands,African Pollen Database
10.1016/j.revpalbo.2010.06.014,"Gajewski, K., Lézine, A., Vincens, A., Delestan, A., Sawada, M., the African Pollen Database, 2002.",Review of Palaeobotany and Palynology,Are pollen-based climate models improved by combining surface samples from soil and lacustrine substrates?,African Pollen Database
10.1016/j.revpalbo.2010.01.003,"343–350. Gajewski, K., Lézine, A.M., Vincens, A., Delestan, A., Sawada, M., the African Pollen Database, 2002.",Review of Palaeobotany and Palynology,A potential of pollen-based climate reconstruction using a modern pollen–climate dataset from arid northern and western China,African Pollen Database
10.1080/00837792.2019.1627455,"7:42–58. Vincens A, Lézine A, Buchet G, Lewden D, Le thomas A. 2007. African pollen database inventory",Webbia,Pollen analysis of some Burkina Faso honey samples,African Pollen Database
10.1016/j.yqres.2007.01.006,"(Ybert, 1979; Bonnefille and Riollet, 1980) and pollen images held in the African Pollen Database (http://medias.obsmip.fr/apd/).",Quaternary Research,"Lowland rainforest response to hydrological changes during the last 1500 years in Gabon, Western Equatorial Africa",African Pollen Database
10.1016/j.quascirev.2016.09.023,Ofﬁce (BR/132/A1/AFRIFORD). Rusaka pollen data were extracted from the African Pollen Database (http://fpd.sedoo.,Quaternary Science Reviews,"Pollen-based biome reconstructions over the past 18,000 years and atmospheric CO2 impacts on vegetation in equatorial mountains of Africa",African Pollen Database
10.1080/10106040508542334,Arabia. These biomes were compared with pollen data available from the African Pollen Database; primarily,Geocarto International,Global Land Cover Mapping and Characterization: Present Situation and Future Research Priorities,African Pollen Database
10.1016/j.gloplacha.2010.01.016,counted. Only the main taxa are presented. Data are available from the African Pollen Database (http://medias.obs-mip.fr/pad).   A.-M.,Global and Planetary Change,Climate change and human occupation in the Southern Arabian lowlands during the last deglaciation and the Holocene,African Pollen Database
10.1016/j.crte.2009.07.002,Holocene; Sahel; Sahara; General Circulation Model; Leaf Area Index; African Pollen Database; Biomization,Comptes Rendus Geoscience,Climate and vegetation: Simulating the African humid period,African Pollen Database
10.1016/j.crte.2009.01.001,"Breton, J.F. Saliège, S. Ivory, J.-P. Cazet, H. David, S. Kröpelin and the African Pollen database for",Comptes Rendus Geoscience,Timing of vegetation changes at the end of the Holocene Humid Period in desert areas at the northern edge of the Atlantic and Indian monsoon systems,African Pollen Database
10.1016/j.yqres.2005.08.007,material of the Museum National d’Histoire Naturelle (Paris) and of the African Pollen Database (www://medias.obs-mip.fr/apd).,Quaternary Research,"High-resolution pollen record from core KW31, Gulf of Guinea, documents the history of the lowland forests of West Equatorial Africa since 40,000 yr ago",African Pollen Database
10.1080/00173134.2013.853830,"83–92. Vincens, A., Lézine, A. M., Buchet, G., Lewden, D. & Le Thomas, A. (2007). African pollen database inventory",Grana,Spectrum of plant species foraged by Apis mellifera adansonii Latreille in the North Sudanian phytogeographical region of Burkina Faso,African Pollen Database
10.1016/j.yqres.2007.10.012,"identification, we used morphological descrip- tions published by the African Pollen Database (2004),",Quaternary Research,"Late Quaternary vegetation reconstruction from the Eastern Arc Mountains, Tanzania",African Pollen Database
10.1016/j.palaeo.2013.01.021,complex grains. Pollen identiﬁcation was based on several sources (e.g. African Pollen Database; Bonneﬁlle,"Palaeogeography, Palaeoclimatology, Palaeoecology","Environmental variability in northern Tanzania from AD 1000 to 1800, as inferred from diatoms and pollen in Lake Duluti",African Pollen Database
10.1016/j.crte.2009.06.007,"northern Africa and a data set of modern and fossil pollen sites (from the African Pollen Database, http://fpd.mediasfrance.org/",Comptes Rendus Geoscience,Plant migration and plant communities at the time of the “green Sahara”,African Pollen Database
