10.1080/13614576.2015.1113037,"beyond. The primary means of delivering access to datasets is through the ARIADNE portal, which is the discovery layer for",New Review of Information Networking,Irish Archaeological Data: Toward a Framework,ARIADNE Portal
10.1080/00934690.2018.1511960,"metadata in order for it to be incorporated and made discoverable within the ARIADNE portal, but some partners encountered greater",Journal of Field Archaeology,Reflections on Collaborative Archaeology and Large-Scale Online Research Infrastructures,ARIADNE Portal
10.1080/00934690.2018.1512701,"EUROPEANA (https://www.europeana.eu/portal/en), and the recently launched ARIADNE Portal (http://ariadneportal.dcu.gr/). In",Journal of Field Archaeology,Editorial Introduction: Web-based Archaeology and Collaborative Research,ARIADNE Portal
10.1111/aman.12771,"32, 234). Unfortunately, the authors can suggest nothing equivalent to Ariadne’s thread—no device or capacity that justiﬁes the soldiers’ ability",American Anthropologist,"Performing Afro-Cuba: Image, Voice, Spectacle in the Making of Race and History by Kristina Wirtz. Chicago: University of Chicago Press, 2014. 344 pp.",ARIADNE
10.1111/aman.12762,"32, 234). Unfortunately, the authors can suggest nothing equivalent to Ariadne’s thread—no device or capacity that justiﬁes the soldiers’ ability",American Anthropologist,"Hierarchy and Pluralism: Living Religious Difference in Catholic Poland by Agnieszka Pasieka. New York: Palgrave Macmillan, 2015. 261 pp.",ARIADNE
10.1111/aman.12749,"32, 234). Unfortunately, the authors can suggest nothing equivalent to Ariadne’s thread—no device or capacity that justiﬁes the soldiers’ ability",American Anthropologist,"Beliefs and Rituals in Archaic Eastern North America: An Interpretive Guide by Cheryl Claassen. Tuscaloosa: University of Alabama Press, 2015. 408 pp.",ARIADNE
10.1111/j.1365-2338.1980.tb02620.x,"to observe plant stages than arthropods. But, this kind of H thread of Ariadne D through the seasonal progress of the year should serve only",EPPO Bulletin,Plant Protection Forecasting Service in the Federal Republic of Germany.,ARIADNE
10.1111/j.1365-2052.2011.02213.x,analyses were performed through Pathway StudioÒ (Nikitin et al. 2003) using Ariadne metabolic pathways and signalling pathways available in the,Animal Genetics,A whole-genome association study for pig reproductive traits,ARIADNE
10.1111/cobi.12348,"knowledge for sustainable development: options for developing countries. Ariadne 52: http://www.ariadne.ac.uk/issue52/kirsop-etal/. Laurance,",Conservation Biology,Biogeographical and Taxonomic Biases in Tropical Forest Fragmentation Research,ARIADNE
10.1111/j.1468-0483.1970.tb00405.x,und die Sangerin as an opera without music and analyses the libretti of Ariadne aitjNaxos and Die Frau ohne Schatten without reference to Strauss.,German Life and Letters,REVIEWS,ARIADNE
10.1002/pmic.200490073,naomi.rabbie@cgen.com Tel.: +972-3-765-8585 Fax: +972-3-765-8555 Website: www.cgen.com Ariadne Genomics and GeneGo Collaborate in Delivering Advanced Systems,PROTEOMICS,New on the Market: Proteomics 11/2004,ARIADNE
10.1002/jcb.22291,"force-treated skeletal tissue was performed using PathwayStudio software (v4.00, Ariadne Genomics, Rockville, MA) [Nikitin et al., 2003]. This text-mining",Journal of Cellular Biochemistry,Label-free quantitative proteome analysis of skeletal tissues under mechanical load,ARIADNE
10.1080/17538947.2016.1205673,the summer school on 2D/3D documentation for archaeology (funded by the Ariadne project FP7-INFRASTRUCTURES-2012-1-313193).  ORCiD Oscar Martinez-Rubi,International Journal of Digital Earth,Using modular 3D digital earth applications based on point clouds for the study of complex sites,ARIADNE
10.1111/j.1744-7909.2012.01136.x,"(canonical names) from our compiled set into PATHWAY STUDIO 5 software (Ariadne Genomics, Rockville, MD) and selecting mode of common regulators",Journal of Integrative Plant Biology,Gene Network Analysis and Functional Studies of Senescence-associated Genes Reveal Novel Regulators of Arabidopsis Leaf SenescenceF,ARIADNE
10.1111/j.1751-908X.2013.00236.x,"Analytical Geochemistry  Michael H. Ramsey (1)*, Grace Solomon-Wisdom (1) and Ariadne Argyraki (2) (1) School of Life Sciences, University of Sussex,",Geostandards and Geoanalytical Research,Evaluation of In Situ Heterogeneity of Elements in Solids: Implications for Analytical Geochemistry,ARIADNE
10.1029/GL014i011p01119,"the eastern Pacific. The data included selected segmentsof SIO cruises Ariadne 1, Marathon 1, Papatua11, and Pascua4 and 5 which sample portionsof",Geophysical Research Letters,The size distribution of Pacific Seamounts,ARIADNE
10.1111/j.1365-2699.1997.tb00051.x,Moore Athyma karita Doheny Athyma p e r k Linn. S d i a chilo Grose-Smith Ariadne ariadne Linn. Vmdula dejone Erichson Cupha,Journal of Biogeography,"Ecological and biogeographical effects of forest disturbance on tropical butterflies of Sumba, Indonesia",ARIADNE
10.1111/mpp.12060,from Junta de Andalucia and by the Marie Curie Initial Training Network ARIADNE (FP7-PEOPLE-ITN-237936). CM-R has a PhD fellowship from the,Molecular Plant Pathology,Proteomic identification of potential target proteins regulated by the SCF F bp1 -mediated proteolysis pathway in Fusarium oxysporum,ARIADNE
10.1111/j.1364-3703.2009.00608.x,"8, 884–896. Daròs, J.A., Elena, S.F. and Flores, R. (2006) Viroids: an Ariadne’s thread into the RNA labyrinth. EMBO Rep. 7, 593–598. Deleris,",Molecular Plant Pathology,High-throughput sequencing of Hop stunt viroid -derived small RNAs from cucumber leaves and phloem,ARIADNE
10.1093/bioinformatics/btp713,bioinformatics results to pathways and gene function include Pathway Studio from Ariadne and Ingenuity Pathway Analysis from Ingenuity Systems. Ontologybased,Bioinformatics,Bioinformatics challenges for genome-wide association studies,ARIADNE
10.1517/17425255.1.2.303,(GeneGo)  PathArt™  No  No  No  No  Yes  (Jubilant)  Pathways  No  No  No  No  Yes  Analysis™  (Ariadne)  Pathways  No  No  No  No  Yes  Assist™  (Ingenuity)  ADME/Tox:,Expert Opinion on Drug Metabolism & Toxicology,Computational prediction of human drug metabolism,ARIADNE
10.1080/03069885.2013.802287,"22, 285Á296. Rowland, J. F. (1997). Print journals: Fit for the future? Ariadne, 7. Retrieved from www. ariadne.ac.uk/issue7/fytton Smith, D.",British Journal of Guidance & Counselling,Forty years of the BJGC : a personal review,ARIADNE
10.1080/00168890.1995.9934248,"Dramaturgy: Robert M u d and the Crisis of Modern Drama. Riverside, CA: Ariadne Press, 1993. Pp. 301.  tator change his life and the world.","The Germanic Review: Literature, Culture, Theory",Reviews,ARIADNE
10.1002/asna.18740841503,"i 41 7 . 8 -4-20.05 1  Aglaja (47) Niohe (71) Metis (9) Thyra, (1 15) Ariadne (43) Echo (60) Lntetia (21) Antigone (129)  1872 Oct. 26 Nor.",Astronomische Nachrichten,Beobachtungen am grossen Meridiankreise der Berliner Sternwarte,ARIADNE
10.1002/asna.19101850703,37 2 2 9 24.3 i1 5 23 36 32 - 9 30.9 0 . 4 2 2 7 ' 0 . 2 4 2 5  (43) Ariadne.  Sept. 10 I2 14 16 I8 20 22 24 26 dj28 30 Oct. 2 4 6 8 I0 I2 I4,Astronomische Nachrichten,Ephémérides rectifiées de petites planètes,ARIADNE
10.1002/asna.18981460403,0 2 2 1 2 4.92 9.361  5 25 22.1  I897 ISett. 2 7 1 0 2 8 44 1-4  (43) Ariadne.  I 1 I+5.46  4 2.9 9.3 110.0 I 2 1 57.17  Ott. 28 28 Nov. 1,Astronomische Nachrichten,Osservazioni di pianetini,ARIADNE
10.1080/19648189.2013.815136,"strengthening and seismic upgrading interventions. International workshop Ariadne 10, Arcchip, pp. 1–24. Prague, Czech Republic [cd-rom]. Borri,",European Journal of Environmental and Civil Engineering,Performance of longitudinal grooves to prevent debonding of GFRP sheets used for the reinforcement of WPC beams,ARIADNE
10.1002/asna.19071762012,+ 1 5 2 2 12.5 >)  3 3.6 +I3 39 13.6 )  3 5.9  n  1907 Dez. 4.  (43) Ariadne 1907 AN I907 A 0 1907 BJ (neu) (423) Diotima  I  2  2 43.1  (308),Astronomische Nachrichten,New variable star 178.1907 Tauri,ARIADNE
10.1111/j.1468-2427.2005.00578.x,"the context of out-migration, and presented some of the activities of ‘Ariadne’, the local development agency, focusing on the development",International Journal of Urban and Regional Research,"Seminars of the Aegean: Naxos, September 2003 Rethinking Radical Spatial Approaches",ARIADNE
10.1002/asna.18740831201,"Febr., der Concordia voni 19. und 20. Febr.: der Echo voni 7. Mirz, der Ariadne voin 18. Mirz und der Antigone voni 19. Marz sind a n einem",Astronomische Nachrichten,"Planeten- und Cometen-Beobachtungen, angestellt auf der Wiener Sternwarte",ARIADNE
10.2752/174589310X12549020528374,"commonly associated with Theseus, the playboy of classical myth, and Ariadne, his humble female accomplice, who rescues Theseus with her",The Senses and Society,Isabella Whitney's Nosegay and the Smell of Women's Writing,ARIADNE
10.1080/09528829908576820,"separated humans from animals. Georges Bataille likewise has followed the Ariadne thread of insight into death, of magic, eroticism and religious   31  9",Third Text,Stipo Pranyko,ARIADNE
10.1080/02690403.2012.669956,"remains a clear tension, and a hint of frustration, in his statement that Ariadne auf Naxos (1916 revision), Intermezzo and Capriccio ‘count among",Journal of the Royal Musical Association,In Search of Strauss,ARIADNE
