10.1016/j.quaint.2014.07.026,"Britain and Ireland (2014)); Australian Archaeological Datasets, 2014; Canadian Archaeological Radiocarbon",Quaternary International,"Chronological database for Southern Chile (35°30'–42° S), ∼33000 BP to present: Human implications and archaeological biases",Canadian Archaeological Radiocarbon Database
10.1080/15564894.2010.504614,the probability plots of 345 Gulf of Georgia radiocarbon dates from the Canadian Archaeological Radiocarbon,The Journal of Island and Coastal Archaeology,"Big Sites, Small Sites, and Coastal Settlement Patterns in the San Juan Islands, Washington, USA",Canadian Archaeological Radiocarbon Database
10.1179/2055557115Y.0000000006,period estimated from taphonomically corrected radiocarbon dates in the Canadian Archaeological Radiocarbon,PaleoAmerica,A Framework for the Initial Occupation of the Americas,Canadian Archaeological Radiocarbon Database
10.1002/ajpa.22595,Detailed descriptions of some of the sites can be obtained using the Canadian Archaeological Radiocarbon,American Journal of Physical Anthropology,Isotopic studies of the diet of the people of the coast of British Columbia,Canadian Archaeological Radiocarbon Database
10.1016/j.quascirev.2013.08.021,therein). All data were cross-referenced with Harington (2003) and the Canadian Archaeological Radiocarbon,Quaternary Science Reviews,New cetacean ΔR values for Arctic North America and their implications for marine-mammal-based palaeoenvironmental reconstructions,Canadian Archaeological Radiocarbon Database
10.1016/j.biocon.2013.08.004,are archaeological sites within this range that we compiled from the Canadian Archaeological Radiocarbon,Biological Conservation,Multidisciplinary synthesis of long-term human–ecosystem interactions: A perspective from the Garry oak ecosystem of British Columbia,Canadian Archaeological Radiocarbon Database
10.1016/j.quascirev.2013.11.024,"Late Glacial and Holocene. Radiocarbon 46, 733e744. Morlan, R., 1999. Canadian archaeological radiocarbon",Quaternary Science Reviews,Northeastern North American Pleistocene megafauna chronologically overlapped minimally with Paleoindians,Canadian Archaeological Radiocarbon Database
10.1016/j.jas.2011.02.026,"from Hamilton and Buchanan (2007), Waters and Stafford (2007), and the Canadian Archaeological Radiocarbon",Journal of Archaeological Science,A comment on Steele’s (2010) “radiocarbon dates as data: quantitative strategies for estimating colonization front speeds and event densities”,Canadian Archaeological Radiocarbon Database
10.1016/j.quaint.2005.03.010,"18,970 +/À1490 33,550 +/À350 13,350 +/À100  Data available online from Canadian Archaeological Radiocarbon",Quaternary International,"Macrofossil and pollen evidence for full-glacial steppe within an ecological mosaic along the Bluefish River, eastern Beringia",Canadian Archaeological Radiocarbon Database
10.1080/00934690.2018.1441575,Study at the University of British Columbia. He is also the Director the Canadian Archaeological Radiocarbon,Journal of Field Archaeology,"Archaeological Survey of Dynamic Coastal Landscapes and Paleoshorelines: Locating Early Holocene Sites in the Prince Rupert Harbour Area, British Columbia, Canada",Canadian Archaeological Radiocarbon Database
10.1017/pab.2017.15,"16:279–293. Gajewski, K., S. Munoz, M. Peros, A. Viau, R. Morlan, and M. Betts. 2011. The Canadian Archaeological Radiocarbon",Paleobiology,Spatially explicit analysis sheds new light on the Pleistocene megafaunal extinction in North America,Canadian Archaeological Radiocarbon Database
10.1016/j.ancene.2015.10.002,change from prehistoric to modern times. Several open access databases (Canadian Archaeological Radiocarbon,Anthropocene,Radiocarbon dates as estimates of ancient human population size,Canadian Archaeological Radiocarbon Database
