10.1016/j.watres.2005.08.033,"Chemistry, Environmental Impact and Health Effects, vol. 6. Lewis Publishers, Chelsa, MI, pp. 665–680. Reckhow, D.A., Singer, P.C., 1984. The removal",Water Research,DBP formation in breakpoint chlorination of wastewater,CHELSA
10.1080/13102818.2007.10817425,"and chlorinated ethylene. 48 Purdue Ind. Waste the Conf. Proceedings. Chelsa, Michigan, USA. 35. ZhongtangY.(1996)BiodechlorinationandBiodegredation",Biotechnology & Biotechnological Equipment,Removal of Trichloroethylene (TCE) in up Flow Anaerobic Sludge Blanket Reactors (UASB),CHELSA
10.1002/nur.20169,"lasting emotional and behavioral difﬁculties than do older children (Chelsa, 1996; Haslum, 1988; Ziegler & Prior). Early researchers of child",Research in Nursing & Health,Early predictors of post-hospital adjustment problems in critically Ill young children,CHELSA
10.1002/ecy.3058,characterization of each plot we used the bioclimatic variables from CHELSA climate data set (Karger et al. 2017). Mean annual temperature,Ecology,Linking patterns and processes of tree community assembly across spatial scales in tropical montane forests,CHELSA
10.1111/geb.13086,"Based on ecological relevance, we selected bioclimatic variables from CHELSA v.1.2 (Karger et al., 2017). Given that water availability to",Global Ecology and Biogeography,Assessing the reliability of predicted plant trait distributions at the global scale,CHELSA
10.3133/wsp919,"feet east of first pole west of road  to Air Prod. Co.  112 South end of Chelsa Dr., 2.5 feet east  of first pole west of, on south side of  road.  113",Water Supply Paper,"Ground-water resources of the El Paso area, Texas",CHELSA
10.1016/0301-7516(90)90024-S,"Kemistilchi, 25B: 42. Jonscher, A.K., 1983. Dielectric relaxation in solids. Chelsa Dielectric Process, London, p. 208. Kongolo, M., Cases, J.M.,",International Journal of Mineral Processing,Dielectric study of the activation and deactivation of sphalerite by metallic ions,CHELSA
10.1016/j.chemgeo.2012.04.007,"Chemistry. Reviews in Mineralogy, 11. The Mineralogical Society of America, Chelsa, pp. 97–144. Meisch, 2000. Freshwater Ostracoda of Western and",Chemical Geology,Mg/Ca and Sr/Ca of ostracod valves from living species of Lake Geneva,CHELSA
10.1007/BF02829757,"for his comments.  References [1] Caratheodory C, Theory of functions (Chelsa Publishing Company) (1960)   336  F Behrouzi  [2] Dales H G and",Proceedings Mathematical Sciences,Homomorphisms of certain Banach function algebras,CHELSA
10.1016/j.ecolmodel.2022.110042,"entropybased CSDMs calibrated with seven different climate data sets (WorldClim, Chelsa, TerraClimate, Climate Research Unit Time-Series [CRU-TS], PRISM,",Ecological Modelling,Choice of climate data affects the performance and interpretation of species distribution models.,CHELSA
