10.1080/00665983.2016.1183379,funded project   reviews  357  ‘Cultural Evolution of Neolithic Europe’ (EUROEVOL). The volume presents eight of the fourteen papers presented,Archaeological Journal,"Connecting Networks: Characterising Contact by Measuring Lithic Exchange in the European Neolithic, edited by Tim Kerig and Stephan Shennan",EUROEVOL
10.1179/1749631413Y.0000000010,"archaeological contribution of T.K. has been made possible by the ERCGrant 249390-EUROEVOL (PI S. Shennan). References Akeret, Ö. 2005. Plant remains",Environmental Archaeology,"How was Bell Beaker economy related to Corded Ware and Early Bronze Age lifestyles? Archaeological, botanical and palynological evidence from the Hegau, Western Lake Constance region",EUROEVOL
10.1080/00438243.2015.1064022,"based on relatively large datasets (N = ~13,000), recent results from the EUROEVOL project (Timpson et al. 2014) carefully avoid claiming chronological",World Archaeology,Quantum theory of radiocarbon calibration,EUROEVOL
10.1080/0067270X.2014.904073,"Physical Anthropology 146: 49–61. doi:10.1002/ajpa.21542 Katie Manning EUROEVOL Institute of Archaeology, London, United Kingdom kat_mng@yahoo.co.uk",Azania: Archaeological Research in Africa,Gobero: The no-return frontier. Archaeology and landscape at the Saharo-Sahelian borderland,EUROEVOL
10.1016/j.quascirev.2014.07.003,"#249390 to S. Shennan for the Cultural Evolution of Neolithic Europe (EUROEVOL) project. We are also grateful to S. Shennan, N. Drake and",Quaternary Science Reviews,The demographic response to Holocene climate change in the Sahara,EUROEVOL
10.1016/j.earscirev.2023.104350,"Shennan, S., Timpson, A., 2016. The cultural evolution of Neolithic Europe. EUROEVOL dataset 1: Sites, phases and radiocarbon data. J. Open Archaeol.",Earth-Science Reviews,"Historical land use reconstruction for South Asia: Current understanding, challenges, and solutions",EUROEVOL
10.1080/0067270X.2014.903039,"Physical Anthropology 146: 49–61. doi:10.1002/ajpa.21542 Katie Manning EUROEVOL Institute of Archaeology, London, United Kingdom kat_mng@yahoo.co.uk",Azania: Archaeological Research in Africa,Outsiders and strangers: an archaeology of liminality in West Africa,EUROEVOL
10.1111/geb.13015,"302–317. Manning, K. (2016). The cultural evolution of neolithic Europe. euroevol dataset 2: Zooarchaeological data. Journal of Open Archaeology",Global Ecology and Biogeography,Reconstructing the climatic niche breadth of land use for animal production during the African Holocene,EUROEVOL
10.1016/j.quascirev.2014.07.013,"either not provided, are incomplete or are imprecise; data taken from the EUROEVOL database). There are also marked differences between the two",Quaternary Science Reviews,Wild plant use in European Neolithic subsistence economies: a formal assessment of preservation bias in archaeobotanical assemblages and the implications for understanding changes in plant diet breadth,EUROEVOL
10.1111/jvs.12601,"2007; Shennan et al., 2013). The Swedish data were extracted from the EUROEVOL data set that contains over 14,000 archaeological radiocarbon",Journal of Vegetation Science,"The role of climate, forest fires and human population size in Holocene vegetation dynamics in Fennoscandia",EUROEVOL
10.1080/14614103.2018.1536500,"Chenopodium murale from European Mesolithic and Neolithic sites, according to EUROEVOL database (Sue Colledge pers. comm.).  Site name  Country/region  Period  Type",Environmental Archaeology,Chenopodium Seeds in Open-Air Archaeological Sites – How to Not Throw the Baby Out with the Bathwater,EUROEVOL
