10.1111/j.1365-2109.1998.tb01102.x,"more detailed analysis of the database. Two appendices, comprising the FishBase references cited by Daniel Pauly, Rainer Froese and co-workers,",Aquaculture Research,Book reviews,FishBase
10.1890/15-0733.1,relationship. Maximum body length values were taken for each species from the FishBase database (available online)6. After standardizing recruit­ment,Ecology,Hierarchical analysis of taxonomic variation in intraspecific competition across fish species,FishBase
10.1890/07-0315.1,"Biology of Fishes 60:299–308. Froese, R., and D. Pauly, editors. 2006. FishBase. hwww. ﬁshbase.orgi  Graham, R., and C. Roberts. 2007. Assessing",Ecological Applications,"ROBUST, COMPARABLE POPULATION METRICS THROUGH COLLABORATIVE PHOTO-MONITORING OF WHALE SHARKS RHINCODON TYPUS",FishBase
10.1016/S0025-326X(99)00002-8,"Caribbean and the Red Sea are 10 and 5 times lower than in the Indo-paci®c (Fishbase 1.0 CD-ROM, eds. R. Froese and D. Pauly, 1994, ICLARM, Manila).",Marine Pollution Bulletin,A Global Assessment of Human Effects on Coral Reefs,FishBase
10.1111/jai.12700,"the length–weight relationships for 14 ﬁshes are ﬁrst-time reports for FishBase, and new maximum total lengths of 13 ﬁshes are also reported.  Results A",Journal of Applied Ichthyology,"Length-weight relationships of 21 fishes from the Xiangjiang River, China",FishBase
10.1111/jai.13009,"scoop nets with a 1 cm mesh size. A total of seven LWRs were unknown to FishBase, and four new maximum ﬁsh lengths were identiﬁed in the study. Introduction The",Journal of Applied Ichthyology,"Length-weight relationships of seven fish species from the upper Pelus River, Kuala Kangsar district, Perak, Malaysia",FishBase
10.1111/jai.12779,"Arabian Gulf area; the only evidence of its existence is an image in Fishbase with no data attached, which serves to make this record anecdotal.",Journal of Applied Ichthyology,"Confirmation of the presence of the Atlantic tripletail, Lobotes surinamensis (Bloch, 1790), in the Sea of Oman",FishBase
10.1111/jai.13149,"Paratrypauchen microcephalus, respectively. This is the first report in FishBase for the fitted LWRs of three of the Gobiidae species mentioned",Journal of Applied Ichthyology,"Length-weight relationships of five Gobiidae species from Bohai Bay, China",FishBase
10.1111/j.1439-0426.2010.01613.x,"identiﬁed to  species following Mirza and Sharif (1996) and rechecked against FishBase (Froese and Pauly, 2010). Fish total lengths and body weights",Journal of Applied Ichthyology,Length-weight relationships of wild and farmed Tor putitora from Pakistan,FishBase
10.1111/jai.12915,"Mountains, Iran. No length–weight data was yet available for A. mossulensis in FishBase (Froese and Pauly, 2015) or for two estimates of L. esocinus",Journal of Applied Ichthyology,"Length-weight relationships of two fish species from Gamsiab Reservoir, western Iran: Alburnus mossulensis Heckel, 1843 and Luciobarbus esocinus Heckel, 1843",FishBase
10.1016/j.ecolmodel.2009.07.031,"to increasing familiarity with trophic levels. One is the emergence of FishBase (Froese and Pauly, 2000), the online database on ﬁsh, covering",Ecological Modelling,EcoTroph: Modelling marine ecosystem functioning and impact of fishing,FishBase
10.1111/jai.12830,Length–weight relationships estimates for these species were not available in FishBase. A total of 737 specimens were used to estimate the a and b,Journal of Applied Ichthyology,"Length-weight relationships for six fish species from the middle of the Yalu Tsangpo River, China",FishBase
10.1111/jai.12815,"analysis. Evol. Bioinform. 1, 47–50. Froese, R.; Pauly, D. (Eds), 2015: FishBase. World Wide Web electronic publication. Available at: http://www.?shbase.org",Journal of Applied Ichthyology,"Development and characterization of 21 novel microsatellite markers for the Amur catfish ( Silurus asotus Linnaeus, 1758)",FishBase
10.1093/hmg/ddp187,"ancestral conﬁguration (Supplementary Material, Fig. S7). Our metaphase FISHbased assay could not be used to resolve the 17q12 inversion in",Human Molecular Genetics,Characterization of six human disease-associated inversion polymorphisms,FishBase
10.1016/j.ecolmodel.2015.05.033,"per dataset. These datasets come from different OBIS contributors, e.g. FishBase and NOAA. This parameter accounts for the frequency of presence",Ecological Modelling,Classifying degrees of species commonness: North Sea fish as a case study,FishBase
10.1111/jfb.12265,"depths of occurrence. Orders are numbered in sequence of appearance in FishBase (Froese & Pauly, 2013). Statistics are given for the maximum",Journal of Fish Biology,Colonization of the deep sea by fishes,FishBase
10.4319/lo.2007.52.5.2306,"fishes. Mar. Biol. 151: 1551–1558. FROESE, R., AND D. PAULY [EDs.], 2006. FishBase [Internet]. Available from http://www.fishbase.org. Accessed",Limnology and Oceanography,Depth-related trends in metabolism of benthic and benthopelagic deep-sea fishes,FishBase
10.1111/maec.12115,"Environmental Technology Letters, 5, 567–575. Froese F., Pauly D. (2009) FishBase. http://www.ﬁshbase.org (accessed 27 June 2009). Gabler H.-M.,",Marine Ecology,"Partitioning of the feeding niche along spatial, seasonal and size dimensions by the fish community in a tropical Bay in Southeastern Brazil",FishBase
10.1111/1365-2435.12155,"(Baker & Sheaves 2005; Blaber 2008; Carrasco, Perissinotto & Nel 2012) and FishBase (www.ﬁshbase.org): phytodetritivores (including species with",Functional Ecology,Stable isotope-based community metrics as a tool to identify patterns in food web structure in east African estuaries,FishBase
10.1111/j.1523-1739.2006.00400.x,"northeast Pacific. Fisheries Oceanography 7:1–21. Froese, R., and D. Pauly. FishBase. International Center for Living Aquatic Resources Management",Conservation Biology,Shifts in a Pacific Ocean Fish Assemblage: the Potential Influence of Exploitation,FishBase
10.1080/01431160802577980,region were collected from various sources. FAO services – FIGIS and FISHBASE – were also consulted for deriving the limits of environmental,International Journal of Remote Sensing,Prioritization of satellite-derived potential fishery grounds: an analytical hierarchical approach-based model using spatial and non-spatial data,FishBase
10.1080/09540100802100202,"Agricultural Immunology, 14, 65Á71. Froese, R., & Pauly, D. (2008). Editors of FishBase. Retrieved February 2008, from www.ﬁshbase.org. Goding, J.W.",Food and Agricultural Immunology,Detection of grouper mislabelling in the fish market by an immunostick colorimetric ELISA assay,FishBase
10.1111/jai.13379,"software. The resulting parameters, complemented with growth curves from FishBase were then used for yield-­per-­recruit analyses. These 10 species",Journal of Applied Ichthyology,Growth and mortality of exploited fishes in China's coastal seas and their uses for yield-per-recruit analyses,FishBase
