10.1016/0022-2836(92)90636-X,".I. t5.. LVarrtatt. bl. S.. Oat,le\. S. ,I, & K t’attt. .I. (I 986). Futr~tional roltl of’ aspartt(A nc,id 5 it) tlihydrof’olatr~ rrttuc~tasc~",Journal of Molecular Biology,High resolution functional analysis of antibody-antigen interactions,FuTRES
10.1002/jctb.5000423825,"snnio order (15-18% of hydrocynnic acid liberntetl).  Utilising edible futr. U.S.P. 1,455,254. SCCM I .  Tho aniorint of hydrocynnic acid formed",Journal of the Society of Chemical Industry,Abstracts,FuTRES
10.1080/14767724.2018.1558047,"In Schooling Internationally: Globalisation, Internationalisation and the Futre for International Schools, edited by R. Bates, 39–58. Abingdon:","Globalisation, Societies and Education",International schools’ leadership and Christianity,FuTRES
10.4296/cwrj0404071,"in National U.S. Department of Statet  Washington.  Waterbury, John. Futr+e. The  Egypt: Burdens of the Past, Options for the American Universities",Canadian Water Resources Journal,THE EGYPT-SUDAN PERMANENT JOINT TECHNICAL COMMISSION FOR NILE WATER,FuTRES
10.3109/10715762.2014.928410,"USA: Human Kinetics, 2004. pp. 377–390. [9] McKune AJ, Semple SJ, Peters-Futre EM. Acute exerciseinduced muscle injury. Biol Sport 2012;29:3–10. [10]",Free Radical Research,SOD2 gene polymorphism and muscle damage markers in elite athletes,FuTRES
10.1111/j.1440-1711.2000.t01-1-.x,"overtrained athletes. Int. J. Sports Med. 1994; 15: S142–7. 63 Peters-Futre EM. Vitamin C, ultramarathon running and URTI: The missing link?",Immunology and Cell Biology,Overview of the epidemiology of exercise immunology,FuTRES
10.1080/2222582X.2017.1380504,"Echoes of Myth, Religion and Ritual in the Ancient Novel, ed. Marília P. Futre Pinheiro, Anton Bierl and Roger Beck (Berlin: De Gruyter, 2013),",Journal of Early Christian History,Prophecy in Origen: Between Scripture and Philosophy,FuTRES
10.1016/0004-3702(86)90018-4,TIME (PRES)) CHILD SEES: (SELFPTRANS ACTOR (FATHER1) TO (KITCHEN1) TIME (FUTR)) PARENT SAYS: papa is GO ing to the kitchen CHILD PARSES: (FATHER1),Artificial Intelligence,A computer model of child language learning,FuTRES
10.1111/j.1748-1716.1993.tb09477.x,"et al. 1982, Blom et al. 1984, Holloszoy 1984, Williams 1985, Peters Futre et al. 1987). There is also data from within this study to support",Acta Physiologica Scandinavica,Non-invasive techniques for assessing carbohydrate flux,FuTRES
10.1139/v79-427,"t ~J.. Am. Chem. Soc. 92.254 (1970). 24. F. P, ABR\\ISOI\,and J . H . FUTRELI . J . Phys. Chem. 72. 1991(3968).  Can. J. Chem. Downloaded",Canadian Journal of Chemistry,Rare-gas sensitized radiolysis of gaseous isobutene: ionic processes,FuTRES
10.1016/0024-3205(78)90127-3,"II, 1097-1103 (1971) .  5 . D . E . ONG, C . H . TSAI and F . CHYTIL,J. Futr .~06 204-211 (1976) .  6 . A . J . LAMB, P . APIWATANAPORN and",Life Sciences,Effect of vitamin A deficiency on RNA synthesis in isolated rat liver nuclei,FuTRES
10.1016/S0021-9150(01)00569-X,"cardiovascular disease: a meta-analysis. Circulation 1998;97:996 – 1001. Peters-Futre EM. Vitamin C, neutrophil function, and upper respiratory tract",Atherosclerosis,Hyperglycemia-induced ascorbic acid deficiency promotes endothelial dysfunction and the development of atherosclerosis,FuTRES
10.1002/ceat.201100342,"797–802   Curvature measurement  799  Bias^h  À r2 2  Xn  !À1 Xn  ""  Fi FiT  Futr  i1 u1  Xn !À1 # Fi FiT Hu i1  6  In practice, ^h and r^2",Chemical Engineering & Technology,Drying Kinetics of Silica Gel: Statistical Discrimination Using Nonlinearity Measures,FuTRES
10.1080/01421590600726987,"diverse population Michelle McLean, Jacqueline M. Van wyk, Edith M. Peters-Futre & Susan B. Higgins-Opitz To cite this article: Michelle McLean,",Medical Teacher,The small group in problem-based learning: more than a cognitive ‘learning’ experience for first-year medical students in a diverse population,FuTRES
10.1016/j.engstruct.2023.115755,Constitutive relation curve of the concrete. 3   G. Zhang et al.  fucr ucr  Ec  futr utr  Engineering Structures 281 (2023) 115755  Fig. 4. Constitutive,Engineering Structures,Numerical analysis and design method of UHPC grouted RC column- footing socket joints,FuTRES
10.1002/andp.18050200502,"haben, die Ele&kitit genau zu beltiniiiien. Wir liufsen ainefi   e./,o Futr langen Draht ifolirt am der Gondd herab; -er zeigte darauf an feinem",Annalen der Physik,"Bericht Biot's von einer aerostatischen Reise, welche Gay-Lussac und er am 24sten Aug. 1804 unternommen häben",FuTRES
10.1080/13803611.2014.895388,"than are typical in the large-lecture class (McLean, Van Wyk, Peters-Futre, & HigginsOpitz, 2006; Qin, Johnson, & Johnson, 1995). Indeed,",Educational Research and Evaluation,Students as teachers: effectiveness of a peer-led STEM learning programme over 10 years,FuTRES
10.1080/15438627.2015.1076416,"tissue and what is cleared from the circulation (McKune, Semple, & Peters-Futre, 2012). In the literature most studies that analysed muscle damage",Research in Sports Medicine,Muscle damage produced during a simulated badminton match in competitive male players,FuTRES
10.1139/f86-184,"uptake by the blue-green alga Aaracystis nidubans. Planta 149: 138- 143. Futrs, G. W., S. D. DEML~ERLE.EC, ANELLAIN, D M. CHEN.1972. Charaterization",Canadian Journal of Fisheries and Aquatic Sciences,Phosphate Uptake Rates of Phytoplankton Assemblages Grown at Different Dilution Rates in Semicontinuous Culture,FuTRES
10.1007/BF03004226,Interpolation et lissages  t ~lcul du gain  Excitation ~  sIni ghaibini=tio0n ~  FUtre de ~ ~nth~  D6saeeentuation  DCo/nAve:r1ti2ssbeiutr + passe-bes  b<  CModICeur,Annales Des Télécommunications,Dialogue homme-machine: Le traitement du signal,FuTRES
10.1002/cite.330250407,"Wickeloperation selbat fortfiel, die mitt der erforderiichen Genauigkeit futr a l h Lagen nkht dwchgefiihrt werden komntle und die erheblicfie",Chemie Ingenieur Technik,Über die Entwicklung und Fertigung von Hochdruckhohlkörpern in Mehrteilbauweise bei den Stahlwerken,FuTRES
10.1080/09540109709354952,"V8 PDA V8 PDA V8 V8  Aalt Abri Ainf Alin Aspe Botr Clad Epic Fuav Fucu Fupo Futr Peni Phli Pybr Meta Scle Stbo Veda  ""V8 (V8 juice (200 ml) and",Food and Agricultural Immunology,"The production and characterization of monoclonal antibodies against alternaria brassicae (berk.) sacc., the cause of dark leaf and pod spot in oilseed rape",FuTRES
10.1111/j.1743-7563.2011.01477.x,"mobility  shift assay, and reporter assay indicated that rs11781886 in the 5′fUTR of NKX3.1 displayed different binding afﬁnity to nuclear proteins",Asia-Pacific Journal of Clinical Oncology,Oral Abstracts,FuTRES
10.1080/17461391.2012.711860,"losses during multi-stage cycling events over several days (Rose & Peters-Futre, 2010; Schenk et al., 2010; Stuempfle et al., 2003), but the nature",European Journal of Sport Science,Fluid balance of cyclists during a 387-km race,FuTRES
