10.1016/j.jhydrol.2016.10.002,"species in geologic media. Appl. Geochem. 27 (3), 774– 781. IAEA/WMO, 2007. Global Network of Isotopes in",Journal of Hydrology,Effects of water-sediment interaction and irrigation practices on iodine enrichment in shallow groundwater,Global Network of Isotopes in Precipitation
10.1002/2015JG003260,"decreasing atmospheric temperature [Dansgaard, 1964]. There are few GNIP (Global Network of Isotopes in",Journal of Geophysical Research: Biogeosciences,Are the oxygen isotopic compositions of Fitzroya cupressoides and Nothofagus pumilio cellulose promising proxies for climate reconstructions in northern Patagonia?,Global Network of Isotopes in Precipitation
10.1002/2013JG002312,"highlighted three tropical stations (Bangkock, Darwin, and Izobamba) within the Global Network of Isotopes in",Journal of Geophysical Research: Biogeosciences,The response of the 18 O/ 16 O composition of atmospheric CO 2 to changes in environmental conditions,Global Network of Isotopes in Precipitation
10.1002/2016JD025352,"al., 1993]. However, there are contrasting studies. For example, the Global Network of Isotopes in",Journal of Geophysical Research: Atmospheres,"Controlling factors of rainwater and water vapor isotopes at Bangalore, India: constraints from observations in 2013 Indian monsoon",Global Network of Isotopes in Precipitation
10.1080/10256019908234086,including hydrology”. Dr. Blix stated that the operation of the IAEA/WMO Global Network for Isotopes,Isotopes in Environmental and Health Studies,Book Reviews,Global Network of Isotopes in Precipitation
10.1002/jqs.2550,Palaeogeography Palaeoclimatology Palaeoecology 193: 139–157. IAEA/WMO. 2006. Global Network of Isotopes in,Journal of Quaternary Science,A late Holocene climate record in stalagmites from Modrič Cave (Croatia),Global Network of Isotopes in Precipitation
10.1002/joc.4019,amount and with temperature. This method overcomes deficiencies of the Global Network of Isotopes in,International Journal of Climatology,Simulation of stable water isotopic composition in the atmosphere using an isotopic Atmospheric Water Balance Model,Global Network of Isotopes in Precipitation
10.1029/2005WR004812,"concentrations at Portland which began in  1963 (IAEA/WMO, The GNIP Database, Global Network of Isotopes in",Water Resources Research,Influence of volcanic history on groundwater patterns on the west slope of the Oregon High Cascades,Global Network of Isotopes in Precipitation
10.1029/2006WR005186,precipitation isotope ratios. Data for North America were compiled from the Global Network for Isotopes,Water Resources Research,Stable isotope ratios of tap water in the contiguous United States,Global Network of Isotopes in Precipitation
10.1029/2008WR007515,(IAEA) and World Meteorological Organization (WMO) have operated the Global Network of Isotopes in,Water Resources Research,"The stable isotope amount effect: New insights from NEXRAD echo tops, Luquillo Mountains, Puerto Rico",Global Network of Isotopes in Precipitation
10.1002/ajpa.20965,alteration of bone phosphate? Earth Planet Sci Lett 142:1–6. IAEA/WMO. 2006. Global network of isotopes in,American Journal of Physical Anthropology,"Investigating cultural heterogeneity in San Pedro de Atacama, northern Chile, through biogeochemistry and bioarchaeology",Global Network of Isotopes in Precipitation
10.1029/2007JD008652,cores. [46] A recent comparison of modeled isotopes with observations from the Global Network for Isotopes,Journal of Geophysical Research,Spatial covariance of water isotope records in a global network of ice cores spanning twentieth-century climate change,Global Network of Isotopes in Precipitation
10.1029/2004EO220008,"Study, PANASH-Paleoclimates of the Northern and Southern Hemispheres, GNIP Global Network for Isotopes","Eos, Transactions American Geophysical Union",PAGES: Always bottom up,Global Network of Isotopes in Precipitation
10.1111/j.0908-8857.2005.03403.x,Hobson et al. 2003). Regional maps of precipitation dD data from the Global Network for Isotopes,Journal of Avian Biology,Stable isotope analyses of feathers help identify autumn stopover sites of three long-distance migrants in northeastern Africa,Global Network of Isotopes in Precipitation
10.1016/j.gexplo.2017.01.003,"64:75–94. http://dx.doi.org/10.1016/j.chemer.2003.10.001. IAEA, 2015. Global Network of Isotopes in",Journal of Geochemical Exploration,The impact of natural and anthropogenic factors on groundwater quality in an active volcanic/geothermal system under semi-arid climatic conditions: The case study of Methana peninsula (Greece),Global Network of Isotopes in Precipitation
