10.1002/er.1071,"power production with low CO2 emissions in district heating systems A( . Marben,y and S. Harvey Heat and Power Technology, Department of Chemcial",International Journal of Energy Research,The role of policy instruments for promoting combined heat and power production with low CO2 emissions in district heating systems,MARBEN
10.1111/sdi.12765,"persons on dialysis. J Clin Gastroenterol. 2008;42:1054‐1059. 14. Bickel M, Marben W, Betz C, et al. End Stage renal disease and dialysis in HIV",Seminars in Dialysis,ESRD patients coinfected with human immunodeficiency virus and Hepatitis C: Outcomes and management challenges,MARBEN
10.1007/BF01308301,"authors are indebted to Mrs. Judy Duenes, Mr. Larry Stokes, and Ms. Brenda Marben for their technical help and to Ms. Gaurdis Grube for her secretarial",Digestive Diseases and Sciences,Radiolabeled fiber,MARBEN
10.1577/1548-8446-24-3,can han-  ♦ Aquatic Education: Georgia Department of Natural Resonrces-Marben Public Fishing Area Project  dle. The Nebraska Fisheries Division  In,Fisheries,"Full Issue Article Volume 24, Issue 3",MARBEN
10.1002/fedr.4870481204,"zahlreich, kiirzer als die Blatter : 30. -. Tepalen 6 mm lang. Staubfilden 10. Marben 5. Achselhaare zahlreich, mitunter liinger als die Bliitter.",Repertorium novarum specierum regni vegetabilis,Die Portulacaceae Ostafrikas,MARBEN
10.1080/10426509608040479,"Crystal Chemistry"", Poznali- Kien, pp. 221-243 (1982). [37] H. Simonis, E. Marben, and E. Mermold. Be,: Dtsch. Chem. Ges., 38, 3981 (1905). [38]","Phosphorus, Sulfur, and Silicon and the Related Elements",ARYL THIOCARBAMOYLATIONS OF PHTHALIDES AND X-RAY STUDIES OF THREE REACTION PRODUCTS,MARBEN
10.1002/jcu.1870120914,"intervention.   694 CASE REPORT HAYASHI ET AL.  REFERENCES 1. Bachman AL, Sieman WB,Marben KL, et al: Lat- eral pharyngeal diverticulum. Radiology 91:600,",Journal of Clinical Ultrasound,Lateral Pharyngoesophageal Diverticulum. Simulating Thyroid Adenoma on Sonography,MARBEN
10.1002/ardp.18230050132,"e l m mtrbtigtn neacn @toft?, mcI4e in otrllbitbewn OtTanjen entbtdt marben Fnb, Wttt id, bier &ern iarammcitgefteat au cis nom @mien.;in",Archiv der Pharmazie,"Vierter Abschnitt. Arzneimittel aus dem organischen Reiche, als Rinden, Wurzeln, Kräuter, Blumen, Früchte u. s. w., im rohen Zustande und im zubereiteten, ihre Bestandtheile, Abstammung u. s. w.",MARBEN
10.1002/ardp.18290280114,Paum bemrrPt Iverbtn. 9Zan (elite ibn foglei4 i n ein marme8 Bab. Ed marben BenfpPnfler -awf bie %rttff geiegt unb fauementd mir Asa foetida,Archiv der Pharmazie,Vergiftung durch Belladonna.,MARBEN
10.1002/latj.201700002,"parameters on gap bridging and seam roughness Florian Albert, Philip Marben and Tom Graham  Remote laser welded fillet and I-seams at overlapped",Laser Technik Journal,Remote Laser Welding of Steel and Aluminum Alloys,MARBEN
10.1016/j.pedhc.2017.04.015,"16(7), 660-667. Bellin, M., Dicanno, B., Levey, E., Dosa, N., Roux, G., Marben, K., & Zabel, T. (2011). Interrelationships of sex, level of",Journal of Pediatric Health Care,Developing a Transition Care Coordination Program for Youth With Spina Bifida,MARBEN
10.1111/hiv.12038,"Medicine (2013), 14, 503–508   508 L Ryom et al.  References 1 Bickel M, Marben W, Betz C et al. End-stage renal disease and dialysis in HIV-positive",HIV Medicine,"Advanced chronic kidney disease, end-stage renal disease and renal death among HIV-positive individuals in Europe",MARBEN
10.1007/BF01843224,"~erminberte~ Mtt milrbe,  ~e(t~inbe, mefd)e get ttnr bet I. |  ~ r e madgen marben.  ~a~ ~3ua~enDo[8bient in bet &etupt~'a/~e~ttr g{n~ertigung~on",European Journal of Forest Research,Eine forstliche Studienreise nach Dänemark,MARBEN
10.1080/14656566.2019.1612364,"of antiretroviral therapy. Kidney Int. 2014;86:259–265. 32. Bickel M, Marben W, Betz C, et al. End-stage renal disease and dialysis in HIV-positive",Expert Opinion on Pharmacotherapy,Pharmacotherapeutic management of HIV in transplant patients,MARBEN
10.1016/0010-4655(88)90119-1,"Communications Group at CERN, using a portable software package called OSIAM, from Marben Informatique. The actual use may be directly through the Transport",Computer Physics Communications,Local Area Networks for microcomputers,MARBEN
10.1002/ardp.18310370207,6 p u r cis 15 *    - -aag  f d i f a n g t tm Uebtrf4ufj attfebt. QS marben babtlt4 I Oran ~ P l f i r I t c r rfobfcnfaitrt Bittcrcrbe trbaltcn,Archiv der Pharmazie,Chemische Untersuchung des Wassers der Quelle.,MARBEN
10.1111/j.1469-7793.1997.375bk.x,"may involve changes in membrane conductance(s). In cardiac myofibres, Marben & Tsien (1982) showed that following strophanthidin application,",The Journal of Physiology,The electrogenic effects of Na + -K + -ATPase in rat auditory thalamus,MARBEN
10.1111/fme.12315,"traffic and fishing effort at a PFA in middle Georgia, USA, is summarised.  Marben PFA is a mosaic of 22 small (<40 ha) impoundments distributed",Fisheries Management and Ecology,Efficacy of a passive use-estimation system for estimating fishing effort on a multi-lake fishery,MARBEN
10.1007/BF01942684,"Abschnitt des Lappens zwei weitere, ganz kleine, schieferige, strahlige 2~marben. Augerdem in der rechten Spitze eine h6chstens 4: rnm dicke,",Virchows Archiv für Pathologische Anatomie und Physiologie und für Klinische Medizin,Über Lipoidgranulomatose,MARBEN
10.1111/j.1463-6395.1947.tb00023.x,"ithe medletrer, the badger, the nine-bandied arlmadi~llo,the stoat, the marben anid the fur seal, the fnee 7 esicle stage is of cansdiderablie",Acta Zoologica,"THE PHYSIOLOGY OF REPRODUCTION IN MINK (MUSTELA VISON, SCHREB.) WITH SPECIAL REFERENCE TO DELAYED IMPLANTATION",MARBEN
10.1111/hiv.12249,"end-stage renal failure in the UK. AIDS 2009; 23: 2517–2521. 21 Bickel M, Marben W, Betz C et al. End-stage renal disease and dialysis in HIV-positive",HIV Medicine,Monitoring of kidney function in HIV-positive patients,MARBEN
10.1080/03014223.2006.9517808,"38A; GS14934, T20/f30, 3 pr). Waipipian: E bank Patea River alongside Marben Road, 5 km upstream from Ball Road bridge, c. 25 km N of Patea,",Journal of the Royal Society of New Zealand,Marine Mollusca of oxygen isotope stages of the last 2 million years in New Zealand. Part 2. Biostratigraphically useful and new Pliocene to recent bivalves,MARBEN
10.1016/0010-4655(87)90143-3,"implementation in a portable form ~, which * The OSIAMC product marketed by MARBEN INFOR- MATIQUE in Europe and by OMNICOM in the USA.  will be",Computer Physics Communications,Two years of real progress in European HEP networking: A CERN perspective,MARBEN
10.1007/BF01842710,"~r/iftiger unb mibeffianb~fii~iger gegen ben ~tnfIug bet ~iitte  roerben marben. ~a~ intenfi~ere ~uftrete~ bet ~fttte murbe abet ~oon  ,~@r SU",European Journal of Forest Research,Die erfolgreiche Bekämpfung der Kiefernschütte,MARBEN
