10.1111/j.1475-1313.2007.00510.x,"Opt. 21, 17–29. Greaney, M. J., Hoffman, D. C., Garway-Heath, D. F., Nakala, M., Coleman, A. L. and Caprioli, J. (2002) Comparison of optic",Ophthalmic and Physiological Optics,Technical Note: Grading the vertical cup:disc ratio and the effect of scaling,NAKALA
10.1007/BF02283816,"iiber Lipoide. Internat. ~rztekongrell London 1913, Abe. I I I . --.los) Nakala, Die Nebennieren bei Verbrennungstod. Beitr. z. pathol. Anat.",Zeitschrift für Kinderheilkunde,Vom Cholesterinstoffwechsel und seinen Beziehungen zur Involution der Nebennierenrinde beim Säugling,NAKALA
10.1016/0955-0674(95)80034-4,"Influx. J Biol Chem 1994, 269:12645-12653. YadaT, SakuradaM, Ihida K, Nakala M, Murata F,Arimura A, Kikuchi M: Pituitary Adenylate CyciaseActivating",Current Opinion in Cell Biology,Cell regulation,NAKALA
10.1002/vms3.152,"clinically diagnosed BL occurred in three neighbouring villages of Nonghai, Nakala and Moungkai, located in Songkone district, Savannakhet province,",Veterinary Medicine and Science,Financial impact of an outbreak of clinically diagnosed blackleg - a case study from Lao PDR,NAKALA
10.1080/23277408.2018.1529851,"iliyoandikwa na Dr. Ludwig Krapf (uk. 11-12). Halikadhalika, baada ya kusoma nakala ya gazeti iliyokuwa na habari kuhusu kifo na mazishi ya marehemu",Eastern African Literary and Cultural Studies,Mchango wa Waandishi wa Kazi za Kubuni katika Uendelezaji wa Kiswahili,NAKALA
10.1080/0035919X.2018.1564400,"edn. London, Tradeship Publications Ltd. GWOSDZ, W. 1981. Report on the Nakala-Phala carbonate deposit (QDS2226D1). Geological Survey of Botswana",Transactions of the Royal Society of South Africa,Site determination for artisanal rock carbonate processing using qualitative multifactor analysis – case studies: Malawi and South Africa,NAKALA
10.1002/ajpa.23015,"adolescent females and two adolescent males. One juvenile female (4-year old), Nakala, had not yet included tool use in her behavioral repertoire and",American Journal of Physical Anthropology,Behavioral and functional strategies during tool use tasks in bonobos,NAKALA
10.1016/S0140-6736(95)90893-5,"colonoscopy and multiple biopsies. Endoscopy 1985; 17: 86-88. 4 Ruane PJ, Nakala MM, Reinhart JF, George WL. Spirochete-like organisms in the",The Lancet,Herpesvirus-like DNA sequence in Kaposi's sarcoma from AIDS and non-AIDS patients in Taiwan,NAKALA
10.1016/S0959-440X(94)90182-1,"Acceptor for GIc-phosphotransferase. J Biol Chem 1993, 268:8341-8349. [14]. Nakala N, Furukawa K, Greenwalt DE, Sato T, Kobata A: • Structural Study",Current Opinion in Structural Biology,Carbohydrates and glycoconjugates,NAKALA
10.1111/j.1432-1033.1995.939_a.x,"especially, in bovine glycoproleins, the bovine MFGM glycopruleins CD36 (Nakala e l al., 1993), butyrophilin (Sato ct al., 1WS), bovine lectolransferriii",European Journal of Biochemistry,Structure of Glycopeptides Isolated from Bovine Milk Component PP3,NAKALA
10.1002/j.1834-4461.1943.tb00392.x,pitjimaleika1Ja ala mbaramaleika1Ja  Conditional A.II.':' ji'lja tutjika nakala ji'lja pitjitjika nakala ji'lja mbaritjika,Oceania,ARANDA GRAMMAR,NAKALA
