10.1111/j.1466-8238.2008.00406.x,of the maximum value of Populus pollen from each pollen diagram in the North American Pollen Database,Global Ecology and Biogeography,"Continental-scale tree population response to rapid climate change, competition and disturbance",North American Pollen Database
10.1080/01916122.2007.9989631,"Pteridium, Equisetum, andLycopodium. Thepollen and spore counts are in the North American Pollen Database",Palynology,"Canada geese dispersed cultigen pollen grains from prehistoric Iroquoian fields to Crawford Lake, Ontario, Canada",North American Pollen Database
10.1016/S0277-3791(99)00093-1,al. (1997). 2.3. Pollen data Fossil pollen data were obtained from the North American Pollen Database,Quaternary Science Reviews,Vegetation and environment in Eastern North America during the Last Glacial Maximum,North American Pollen Database
10.1016/j.geomorph.2008.05.024,"from pollen records. Fortunately, there are two pollen sections from the North American Pollen Database",Geomorphology,"Late Quaternary climates and river channels of the Atlantic Coastal Plain, Southeastern USA",North American Pollen Database
10.1046/j.1365-2699.2000.00426.x,unpublished sources. Most of the data were obtained as raw counts via the North American Pollen Database,Journal of Biogeography,"Pollen-based biomes for Beringia 18,000, 6000 and 0 14C yr bp +",North American Pollen Database
10.1080/00291950310000776,"best-developed of such databases are regional pollen databases, such as the North American Pollen Database",Norsk Geografisk Tidsskrift - Norwegian Journal of Geography,"Contributing to global change science: the ethics, obligations and opportunities of working with palaeoenvironmental databases",North American Pollen Database
10.1890/1540-9295-12.5.306,"USDA’s Forest Inventory, adaptive radiation of Darwin’s finches, and the North American Pollen Database.",Frontiers in Ecology and the Environment,Harnessing bits and bytes to transform ecology education,North American Pollen Database
10.1111/bor.12218,(total annual precipitation and average summer temperature). We use the North American Pollen Database,Boreas,"Pollen and macrofossil-inferred palaeoclimate at the Ridge Site, Hudson Bay Lowlands, Canada: evidence for a dry climate and significant recession of the Laurentide Ice Sheet during Marine Isotope Stage 3",North American Pollen Database
10.1111/jvs.12278,variations of mean pollen percentages averaged across >500 sites from the North American Pollen Database,Journal of Vegetation Science,Long-term vegetation stability and the concept of potential natural vegetation in the Neotropics,North American Pollen Database
10.1016/j.quaint.2012.10.055,"Posy Lake were collected, analyzed, and subsequently submitted to the North American Pollen Database",Quaternary International,"Holocene vegetation and fire reconstructions from the Aquarius Plateau, Utah, USA",North American Pollen Database
10.1111/j.1466-8238.2007.00349.x,eastern and northern North America using fossil pollen records from the North American Pollen Database,Global Ecology and Biogeography,Leaf area index for northern and eastern North America at the Last Glacial Maximum: a data?model comparison,North American Pollen Database
10.1016/j.palaeo.2004.09.010,calculate sums and graph data. (The pollen data are available from the North American Pollen Database,"Palaeogeography, Palaeoclimatology, Palaeoecology",Development of vegetation in the Central Mojave Desert of California during the late Quaternary,North American Pollen Database
10.1016/j.revpalbo.2010.06.014,"the expanded British Columbia Modern Database (BCMPD, n = 990) and the North American Pollen Database",Review of Palaeobotany and Palynology,Are pollen-based climate models improved by combining surface samples from soil and lacustrine substrates?,North American Pollen Database
10.1016/j.yqres.2014.11.005,speciﬁc gravity) and acetolysis. All pollen data are archived in the North American Pollen Database. NPPs,Quaternary Research,"Historic and Holocene environmental change in the San Antonio Creek Basin, mid-coastal California",North American Pollen Database
10.1139/b01-123,The complete data are available at the New York State Museum and the North American Pollen Database,Canadian Journal of Botany,"Postglacial history of a marl fen: vegetational stability at Byron-Bergen Swamp, New York",North American Pollen Database
10.1016/S0031-0182(00)00154-1,taxa are presented; the complete pollen data may be accessed via the North American Pollen Database.,"Palaeogeography, Palaeoclimatology, Palaeoecology","Late Quaternary vegetation history of Rough Canyon, south-central New Mexico, USA",North American Pollen Database
10.1016/j.yqres.2011.01.009,Oscillation. (B) Pollen from the Pyle site (Fig. 1) obtained from the North American Pollen Database,Quaternary Research,"Terrestrial sensitivity to abrupt cooling recorded by aeolian activity in northwest Ohio, USA",North American Pollen Database
10.1016/j.yqres.2006.08.004,"fish spines, and plant macrofossils. We also thank contributors to the North American Pollen Database. References Alvarez",Quaternary Research,"A 6000-year record of ecological and hydrological changes from Laguna de la Leche, north coastal Cuba",North American Pollen Database
10.1016/j.quaint.2012.08.107,“wetland index” for North America using a network of 124 sites in the North American Pollen Database.,Quaternary International,Quantifying the response of Australian landscapes to climatic and tectonic forcing using cosmogenic isotope analysis,North American Pollen Database
10.1139/e99-065,total annual precipitation at 6 ka. Pollen data were obtained from the North American Pollen Database,Canadian Journal of Earth Sciences,The climate of North America and adjacent ocean waters ca. 6 ka,North American Pollen Database
10.1080/02724634.2012.716114,Grimm and R. W. Graham in 2006 in order to merge FAUNMAP I and II and the North American Pollen Database,Journal of Vertebrate Paleontology,From card catalogs to computers: databases in vertebrate paleontology,North American Pollen Database
10.1016/j.quascirev.2010.04.022,fossil pollen records from lake or bog sediments were extracted from the North American Pollen Database,Quaternary Science Reviews,Glacial populations and postglacial migration of Douglas-fir based on fossil pollen and macrofossil evidence,North American Pollen Database
10.1016/j.revpalbo.2012.06.007,biogeographical interpretation of post-glacial forest development: analyses from North American Pollen Database.,Review of Palaeobotany and Palynology,"Increasing taxonomic resolution in pollen identification: Sample size, spatial sampling bias and implications for palaeoecology",North American Pollen Database
10.1016/j.revpalbo.2012.04.007,biogeographical interpretation of post-glacial forest development: analyses from North American Pollen Database.,Review of Palaeobotany and Palynology,Morphological differentiation of Alnus (alder) pollen from western North America,North American Pollen Database
10.1016/j.revpalbo.2008.01.008,fieldwork and hospitality. Fossil and modern pollen data were entered in the North American Pollen Database.   18,Review of Palaeobotany and Palynology,"Holocene altitudinal shifts in vegetation belts and environmental changes in the Sierra Madre Occidental, Northwestern Mexico, based on modern and fossil pollen data",North American Pollen Database
