10.1016/S0262-4079(11)62870-4,"Source in California, used to study molecules and materials, and the National Ecological Observatory",New Scientist,United Nations report global drop in HIV,National Ecological Observatory Network
10.1111/j.1469-8137.2010.03536.x,"10.1111/j.1469-8137.2010.03536.x Key words: functional convergence, hyperspectral infrared imager, National Ecological Observatory",New Phytologist,Sources of variability in canopy reflectance and the convergent properties of plants,National Ecological Observatory Network
10.1002/2014JG002690,"In addition, the establishment of monitoring networks (e.g., FLUXNET, National Ecological Observatory",Journal of Geophysical Research: Biogeosciences,A multisite analysis of temporal random errors in soil CO 2 efflux,National Ecological Observatory Network
10.1016/j.ecoinf.2007.07.006,to be essential for emerging environmental observatories such as the National Ecological Observatory,Ecological Informatics,Ensuring reliable datasets for environmental models and forecasts,National Ecological Observatory Network
10.1002/2013EO470001,sponsored by the U.S. National Science Foundation (NSF) as part of the National Ecological Observatory,"Eos, Transactions American Geophysical Union",Smartphones: Powerful Tools for Geoscience Education,National Ecological Observatory Network
10.1029/eost2009EO14,Foundation’s recent watershed-scale Critical Zone Observatories and the National Ecological Observatory,"Eos, Transactions American Geophysical Union","Eos, Transactions, American Geophysical Union Volume 90, Number 14, 7 April 2009",National Ecological Observatory Network
10.1016/j.rse.2015.11.028,observation missions such as the HyspIRI imaging spectrometer and the National Ecological Observatory,Remote Sensing of Environment,Examining spectral reflectance features related to foliar nitrogen in forests: Implications for broad-scale nitrogen mapping,National Ecological Observatory Network
10.1016/j.rse.2016.08.013,and can be realized over large continuous areas as demonstrated in the national ecological observatory,Remote Sensing of Environment,Review of studies on tree species classification from remotely sensed data,National Ecological Observatory Network
10.1890/09-0693.1,"environmental networks across multiple vegetation types (e.g., FLUXNET, National Ecological Observatory",Ecological Applications,Looking deeper into the soil: biophysical controls and seasonal lags of soil CO 2 production and efflux,National Ecological Observatory Network
10.1111/gcb.12026,inﬂuence of data resolution on both climate velocity and direction.  Fig. 1 National Ecological Observatory,Global Change Biology,The climate velocity of the contiguous United States during the 20th century,National Ecological Observatory Network
10.1111/ele.12104,"coming years [e.g. The Long Term Ecological Research Network (LTER), The National Ecological Observatory",Ecology Letters,A road map for integrating eco-evolutionary processes into biodiversity models,National Ecological Observatory Network
10.1002/lob.10240,co-chairing the Hydro-ecology Science Committee for the Design of the National Ecological Observatory,Limnology and Oceanography Bulletin,ASLO 2018 Award Winners,National Ecological Observatory Network
10.1002/lno.10585,National Science Foundation Long-Term Ecological Research Program or National Ecological Observatory,Limnology and Oceanography,Grand challenges for research in the Laurentian Great Lakes,National Ecological Observatory Network
10.1080/10899995.2018.1411699,online with as few restrictions as possible (https:// lternet.edu/).  The National Ecological Observatory,Journal of Geoscience Education,Using big data to engage undergraduate students in authentic science,National Ecological Observatory Network
10.1890/1540-9295-12.8.474,2012; Zoellick et al. 2012; www.yourwildlife.org). Programs such as the National Ecological Observatory,Frontiers in Ecology and the Environment,Ecoliteracy in informal science education settings,National Ecological Observatory Network
10.1016/j.virusres.2011.05.010,pathogens and their response to environmental change (Committee on the National Ecological Observatory,Virus Research,"The expanding field of plant virus ecology: Historical foundations, knowledge gaps, and research directions",National Ecological Observatory Network
10.1890/1540-9295-7.7.343,"students, in large-scale research efforts, such as Ecotrends and the National Ecological Observatory",Frontiers in Ecology and the Environment,Collaborative research at primarily undergraduate institutions,National Ecological Observatory Network
10.1890/120111,construction of three airborne remote-sensing systems as part of the National Ecological Observatory,Frontiers in Ecology and the Environment,Observing changing ecological diversity in the Anthropocene,National Ecological Observatory Network
10.1890/1540-9295-13.1.3,locations not only serve as LTER sites but also host around 40% of the National Ecological Observatory,Frontiers in Ecology and the Environment,Beyond desertification,National Ecological Observatory Network
10.1016/j.cosust.2012.11.002,monitoring and research are also available from other networks such as the National Ecological Observatory,Current Opinion in Environmental Sustainability,Using long-term ecosystem service and biodiversity data to study the impacts and adaptation options in response to climate change: insights from the global ILTER sites network,National Ecological Observatory Network
