10.1016/j.epsl.2024.118781,2024). The new 𝛿D𝑝 record for ODP1239 is also available on the NOAA NCEI Paleoclimatology database.,Earth and Planetary Science Letters,Large-scale sea surface temperature gradients govern westerly moisture transport in western Ecuador during the Plio-Pleistocene,NCEI Paleoclimatology Database
10.1016/j.epsl.2016.01.007,"values, are shown in Fig. 3. All data are also available online in the NOAA/NCEI Paleoclimatology Database.",Earth and Planetary Science Letters,Late Quaternary environmental change in the interior South American tropics: new insight from leaf wax stable isotopes,NCEI Paleoclimatology Database
10.1016/j.jeem.2015.11.005,through 2011 using instrumental records. Data can be recovered from the NOAA paleoclimatology database (http://www.ncdc.noaa.gov/paleo/).,Journal of Environmental Economics and Management,Long-run changes in radiative forcing and surface temperature: The effect of human activity over the last five centuries,NOAA Paleoclimatology
10.1002/joc.2117,reconstruction and the tree-ring data used to produce it will be available at the NOAA Paleoclimatology web site (http://www.ncdc.noaa.gov/paleo/,International Journal of Climatology,"Millennial precipitation reconstruction for the Jemez Mountains, New Mexico, reveals changingb drought signal",NOAA Paleoclimatology
10.1029/2018GL081046,proxy data sets required to produce this research are archived on the NOAA Paleoclimatology Data Base (https:// www.ncdc.noaa.gov/data‐access/,Geophysical Research Letters,Cloud cover feedback moderates Fennoscandian summer temperature changes over the past 1000 years,NOAA Paleoclimatology
10.1016/0377-8398(95)00048-8,"Division, Lawrence Livermore National Laboratory (Grant SC/ 9526), and from NOAA Paleoclimatology Program Grant NA36GP0308. References Aagaard,",Marine Micropaleontology,Mid-Pliocene warmth: stronger greenhouse and stronger conveyor,NOAA Paleoclimatology
10.1006/qres.1999.2073,"sponsored by the PALE project (NSF ATM 95-26384 and NSF ATM 98-09963), The NOAA Paleoclimatology Program, the Russian Foundation",Quaternary Research,Paleoenvironmental Atlas of Beringia Presented in Electronic Form,NOAA Paleoclimatology
10.1111/jbi.12267,"J. & Maher, L. (1996) MapPad (mapping program), version 2.0 (Beta 4). NOAA Paleoclimatology Program. Available at: http://www.ngdc.noaa.gov/paleo/paleo.html. Khanum,",Journal of Biogeography,"Geographical origins of North American Rhodiola (Crassulaceae) and phylogeography of the western roseroot, Rhodiola integrifolia",NOAA Paleoclimatology
10.1002/2015PA002883,"(http://sedis.iodp.org), Pangaea website (http://www.pangaea.de), and NOAA Paleoclimatology (https://www.ncdc.noaa. gov/data-access/paleoclimatology-data).  Glacial",Paleoceanography,Atmosphere-ocean linkages in the Eastern Equatorial Pacific over the early Pleistocene,NOAA Paleoclimatology
10.1016/j.quascirev.2011.05.019,were obtained from the World Data Center for Paleoclimatology of the NOAA Paleoclimatology Program (http://www.ncdc.noaa.gov/paleo/).,Quaternary Science Reviews,"Mid to Late Holocene hydroclimatic and geochemical records from the varved sediments of East Lake, Cape Bounty, Canadian High Arctic",NOAA Paleoclimatology
10.1080/10962247.2013.851044,than droughts of the 20th century. Data from Cook et al. (2009) and the NOAA Paleoclimatology program (http://www.ncdc.noaa.gov/cgi-bin/paleo/pd08plot.pl).,Journal of the Air & Waste Management Association,Changes in weather and climate extremes: State of knowledge relevant to air and water quality in the United States,NOAA Paleoclimatology
10.1080/0194262X.2012.758551,"documents, archaeological remains, and other environmental indicators (NOAA Paleoclimatology Program 2003). Tree rings",Science & Technology Libraries,Reviews of Science for Science Librarians: Drought in the Agricultural and Geosciences Literature,NOAA Paleoclimatology
10.1111/j.1502-3885.2004.tb01141.x,the manuscript. Marine core and insolation data were provided by the NOAA Paleoclimatology Program and World Data Center,Boreas,Towards a chronology of the Late Pleistocene in the northern Alpine Foreland,NOAA Paleoclimatology
10.1016/j.jsames.2004.05.007,"from the Tertiary of Chile (VI). Botanical Magazine Tokyo 103, 255– 309. NOAA Paleoclimatology Program, 2002. WDC for Paleoclimatology",Journal of South American Earth Sciences,"A diverse assemblage of fossil hardwood from the Upper Tertiary (Miocene?) of the Arauco Peninsula, Chile",NOAA Paleoclimatology
10.1046/j.1365-2699.2000.00426.x,"S. P. (1995) Lake status records from Europe: data base documentation. NOAA Paleoclimatology Publications Series Report,",Journal of Biogeography,"Pollen-based biomes for Beringia 18,000, 6000 and 0 14C yr bp +",NOAA Paleoclimatology
10.1002/2016PA002957,comments on an earlier version of this paper. Data will be available at the NOAA Paleoclimatology (https://www. ncdc.noaa.gov/data-access/paleoclimatology-data),Paleoceanography,Strong middepth warming and weak radiocarbon imprints in the equatorial Atlantic during Heinrich 1 and Younger Dryas,NOAA Paleoclimatology
10.1002/jqs.1423,"from individual site reports, supplemented by records archived by the NOAA Paleoclimatology Program (www.ngdc.noaa.gov/paleo/paleo.html)",Journal of Quaternary Science,Does the Agulhas Current amplify global temperatures during super-interglacials?,NOAA Paleoclimatology
10.1016/j.dendro.2014.06.003,Foundation (SQJ2013015). Tree-ring data from Mongolia were obtained from the NOAA Paleoclimatology International Tree-Ring Data,Dendrochronologia,"Precipitation reconstruction for the southern Altay Mountains (China) from tree rings of Siberian spruce, reveals recent wetting trend",NOAA Paleoclimatology
