10.1111/j.1570-7458.1987.tb02240.x,"Adaptation to oak and other fibrous, phenohc-rich foliage by a small mammal, Neotoma fusctpes Oecologm 60:135 142. Barnes, O. k., 1963. Food-plant",Entomologia Experimentalis et Applicata,Influence of method of presentation on results of plant-host preference tests with two species of grasshopper,Neotoma
10.1016/S0304-3800(99)00054-X,"mouse (P. eremicus), deer mouse (P. maniculatus), white-throated woodrat (Neotoma albigula), southern plains woodrat (N. micropus), western harvest",Ecological Modelling,A comparison of modelling techniques for small mammal diversity,Neotoma
10.1111/zsc.12069,"Shurtliff, Q. R. & Feldman, C. R. (2007). Phylogenetics of the woodrat genus Neotoma (Rodentia: Muridae): implications for the evolution of phenotypic",Zoologica Scripta,A multilocus perspective on the phylogenetic relationships and diversification of rodents of the tribe Abrotrichini (Cricetidae: Sigmodontinae),Neotoma
10.1111/j.1365-2486.2011.02635.x,relative abundance data were derived from eastern North America sites in the Neotoma paleoecology database (www.neotomadb.org) supplemented by contributions,Global Change Biology,No-analog climates and shifting realized niches during the late quaternary: implications for 21st-century predictions by species distribution models,Neotoma
10.1006/jare.1996.0294,"Mesostena 156 Messor M. arenarius 671–5 M. ebeninus 671–5 M. pergandei 675 Neotoma 84 N. albigula 261, 262 Notomys alexis 328, 330, 331 Novomessor",Journal of Arid Environments,Contents and Index to Volume 36,Neotoma
10.1006/anbe.1997.0643,"of food-restricted and food-enriched lactating bushy-tailed woodrats,  Neotoma cinerea. We also monitored mothers and their litters daily throughout",Animal Behaviour,Sex-biased mortality in woodrats occurs in the absence of parental intervention,Neotoma
10.1111/jeb.12138,Eucastor Cricetidae Peromyscus Mictomys Hibbardomys Microtus Mimomys Neotoma Scottimus Reithrodontomys Sigmodon Copemys Onycomys Ondatra,Journal of Evolutionary Biology,The evolution of mammal body sizes: responses to Cenozoic climate change in North American mammals,Neotoma
10.1002/jpln.19540660307,"I.,  Wareham, R. T., Scofield, H . T . : Microclimates and macroclimate of Neotoma,  a small valley in Central Ohio. Columbus, 1949. - (9) Paltmann,","Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde",Zur Anwendung der Invertzuckermethode für standortskundliche Temperaturmessungen,Neotoma
10.1111/j.1365-294X.1995.tb00233.x,"(1992)Variation in mitochondrial DNA and the biogeographic history of woodrats (Neotoma) of the eastern United States. Systematic Biology, 41,331-344. How",Molecular Ecology,Mitochondrial DNA variation among populations of Oedura reticulata (Gekkonidae) in remnant vegetation: implications for metapopulation structure and population decline,Neotoma
10.1111/j.1095-8312.2007.00761.x,"UL. 1998. The inﬂuence of climate change on the body mass of woodrats Neotoma in arid region of New Mexico, USA. Ecography 21: 140–148. Ulijaszek",Biological Journal of the Linnean Society,Body size of the red fox Vulpes vulpes in Spain: the effect of agriculture,Neotoma
