10.1016/j.dsr.2023.104222,www.  gbif.org  www.st  ri.si.edu  siam.  invemar.  org.co  37  www.  obis.org  AUNAP: Autoridad Nacional de Pesca y Acuícultura; GBIF: Global,Deep Sea Research Part I: Oceanographic Research Papers,A novel approach for improving the spatiotemporal distribution modeling of marine benthic species by coupling a new GIS procedure with machine learning,obis.org
10.1016/j.gloplacha.2024.104595,"Intergovernmental Oceanographic Commission of UNESCO. Available from. https://obis.org/. Accessed on 18 June 2024. O’Brien, L., 2023. h3jsr: Access",Global and Planetary Change,The Central Paratethys Sea – Part of the tropical eastern Atlantic rather than gate into the Indian Ocean,obis.org
10.1080/15564894.2019.1679293,"Polynesia, and the remote Hawaiian Islands (Clark 1954; Clark and Rowe 1971; OBIS.org/taxon/512963). We illustrate how to identify helmet urchins",The Journal of Island and Coastal Archaeology,"Sea urchins: Improving understanding of prehistoric subsistence, diet, foraging behavior, tool use, and ritual practices in Polynesia",obis.org
10.1007/s12526-019-00999-z,Biogeographic Information System fact sheet on Cronius ruber. https://obis.org/taxon/241109 (accessed 01 March 2019) Pierce D (2014) ncdf4:,Marine Biodiversity,"Cronius ruber (Lamarck, 1818) arrives to Madeira Island: a new indication of the ongoing tropicalization of the northeastern Atlantic",obis.org
10.1111/geb.12975,"(2017). Ocean biogeographic information system. Retrieved from https​://obis.org/data/polic​y/ Parr, C. L., Dunn, R. R., Sanders, N. J., Weiser,",Global Ecology and Biogeography,sFDvent: A global trait database for deep‐sea hydrothermal‐vent fauna,obis.org
10.1016/j.ecoinf.2022.101675,"folder. 2.5.3. Phase 3 Retrieve species occurrence records from OBIS (https://obis.org/ma nual/access/) and prepare them for MaxEnt. For each species,",Ecological Informatics,Habitat distribution change of commercial species in the Adriatic Sea during the COVID-19 pandemic,obis.org
10.1007/s12526-020-01126-z,"Oceanic and Atmospheric Administration, Charleston, SC OBIS (2019) https://obis.org/taxon/291251. Accessed 6 Jan 2019 Perrings C (2002) Biological",Marine Biodiversity,Determinants of Tubastraea coccinea invasion and likelihood of further expansion in the northern Gulf of Mexico,obis.org
10.1016/j.dib.2023.109223,https://deepseacoraldata.noaa.gov/data ); (5) Ocean Biodiversity Information System (https://obis.org); (6) The Coral Trait Database (https://coraltraits.org); (7),Data in Brief,A dataset of cold-water coral distribution records,obis.org
10.1016/j.jnc.2014.07.004,"publically accessible database, the Ocean Biogeographic Information System (obis.org). Aggregated ﬁshery landings data (sum of all observed landings",Journal for Nature Conservation,A decision-support tool to facilitate discussion of no-take boundaries for Marine Protected Areas during stakeholder consultation processes,obis.org
10.1007/s12526-020-01099-z,database such as Ocean Biogeographic Information System (OBIS; https://obis.org/)   Mar. Biodivers. (2020) 50: 80  Page 3 of 17 80  and mainly,Marine Biodiversity,Distribution of sea anemones in the Southwest Atlantic: biogeographical patterns and environmental drivers,obis.org
