10.1016/j.landurbplan.2021.104165,destruction: An example from the southeastern United States using DINAA (Digital Index of North American,Landscape and Urban Planning,Optimizing preservation for multiple types of historic structures under climate change,Digital Index of North American Archaeology
10.1080/15564894.2019.1701149,destruction: An example from the Southeastern United States using DINAA (Digital Index of North American,The Journal of Island and Coastal Archaeology,"Evaluating sea-level rise hazards on coastal archaeological sites, Trinity Bay, Texas",Digital Index of North American Archaeology
10.1080/14614103.2019.1639338,Destruction: An Example from the Southeastern United States Using DINAA (Digital Index of North American,Environmental Archaeology,Studying Human Responses to Environmental Change: Trends and Trajectories of Archaeological Research,Digital Index of North American Archaeology
10.1080/15564894.2018.1458764,destruction: An example from the southeastern United States using DINAA (Digital Index of North American,The Journal of Island and Coastal Archaeology,"Mound Construction and Site Selection in the Lafourche Subdelta of the Mississippi River Delta, Louisiana, USA",Digital Index of North American Archaeology
10.1080/13505033.2018.1521205,digital archiving resources and contribute to initiatives like DINAA (Digital Index of North American,Conservation and Management of Archaeological Sites,Burning Libraries: A Community Response,Digital Index of North American Archaeology
10.1016/j.marpolbul.2017.12.035,"archaeological sites, the authors of the present study analyzed data from the Digital Index of North American",Marine Pollution Bulletin,News,Digital Index of North American Archaeology
10.1080/15564894.2019.1570987,destruction: An example from the southeastern United States using DINAA (Digital Index of North American,The Journal of Island and Coastal Archaeology,Severe Weather and the Reliability of Desk-Based Vulnerability Assessments: The Impact of Hurricane Maria to Puerto Rico’s Coastal Archaeology,Digital Index of North American Archaeology
10.1080/20555563.2018.1467686,"C. Kansa, Taylor Wiley, Patrick Finnegan, and Valeria Chamorro. 2017. “Digital Index of North American",PaleoAmerica,Paleoindian Archaeology and the Index of Texas Archaeology,Digital Index of North American Archaeology
10.1080/13505033.2018.1516455,Destruction: An Example from the Southeastern United States Using DINAA (Digital Index of North American,Conservation and Management of Archaeological Sites,Heritage Monitoring Scouts: Engaging the Public to Monitor Sites at Risk Across Florida,Digital Index of North American Archaeology
10.1080/00934690.2018.1512701,Integration Of Archaeological Historic Properties Inventory Data: The Digital Index of North American,Journal of Field Archaeology,Editorial Introduction: Web-based Archaeology and Collaborative Research,Digital Index of North American Archaeology
10.1016/j.crm.2018.03.005,destruction: An example from the southeastern United States using DINAA (Digital Index of North American,Climate Risk Management,American archives and climate change: Risks and adaptation,Digital Index of North American Archaeology
10.1080/00934690.2020.1713283,"importantly for the site concept, are built to engage the public. The Digital Index of North American",Journal of Field Archaeology,The Site Problem: A Critical Review of the Site Concept in Archaeology in the Digital Age,Digital Index of North American Archaeology
10.1007/s00799-015-0164-0,contributing the greatest number of such deﬁnitions (around 500) is the Digital Index of North American,International Journal on Digital Libraries,A sharing-oriented design strategy for networked knowledge organization systems,Digital Index of North American Archaeology
10.1080/14614103.2020.1777054,Paleoindian Database of the Americas and archaeological sites in the Digital Index of North American,Environmental Archaeology,"Fire on the Mountain: The Ideal Free Distribution and Early Hunter-gatherer Demography in the Tennessee River Drainage, USA",Digital Index of North American Archaeology
10.1080/13505033.2018.1545204,and learn what we can before it is too late. One recent study using the Digital Index of North American,Conservation and Management of Archaeological Sites,Modelling Resource Values and Climate Change Impacts to Set Preservation and Research Priorities,Digital Index of North American Archaeology
10.1080/0734578X.2017.1416887,"practitioners of North American archaeology. In fact, the project creators of the Digital Index of North American",Southeastern Archaeology,The spatial dimension of the woodland period,Digital Index of North American Archaeology
10.1080/01639269.2015.1096155,Association of State Archaeologists in an NSF-funded initiative to create a Digital Index of North American,Behavioral & Social Sciences Librarian,Comparing Digital Archaeological Repositories: tDAR Versus Open Context,Digital Index of North American Archaeology
10.1080/20555563.2018.1525526,Destruction: An Example from the Southeastern United States Using DINAA (Digital Index of North American,PaleoAmerica,A Perspective on Paleoindian Research from the Opposite End of the Foraging Spectrum,Digital Index of North American Archaeology
10.1080/15564894.2019.1605430,destruction: An example from the southeastern United States using DINAA (Digital Index of North American,The Journal of Island and Coastal Archaeology,Climate Change and Cultural Heritage: A Landscape Vulnerability Framework,Digital Index of North American Archaeology
10.1080/20555563.2016.1270154,Integration of Archaeological Historic Properties Inventory Data: The Digital Index of North American,PaleoAmerica,PIDBA (Paleoindian Database of the Americas): Call for Data,Digital Index of North American Archaeology
