10.1002/2014EO25,(2010– 2014); member of the lead advisory panel for the International Pliocene Model Intercomparison,"Eos, Transactions American Geophysical Union","Eos, Transactions, American Geophysical Union Volume 95, Number 25, 24 June 2014",Pliocene Model Intercomparison Project
10.1016/j.tecto.2016.05.036,"D.K., Dolan, A.M., Lunt, D.J., OttoBliesner, B., Chandler, M.A., 2011. Pliocene Model Intercomparison",Tectonophysics,Transition from the Cretaceous ocean to Cenozoic circulation in the western South Atlantic — A twofold reconstruction,Pliocene Model Intercomparison Project
10.1016/j.gloplacha.2017.09.019,simulations. The boundary conditions for the Early Pliocene follow the Pliocene Model Intercomparison,Global and Planetary Change,Tidal dynamics and their influence on the climate system from the Cretaceous to present day,Pliocene Model Intercomparison Project
10.1002/2013GL058872,conﬁgurations of the time slab. Salzmann et al. [2013] ran a simulation under Pliocene Model Intercomparison,Geophysical Research Letters,Can uncertainties in sea ice albedo reconcile patterns of data-model discord for the Pliocene and 20th/21st centuries?,Pliocene Model Intercomparison Project
10.1002/2014PA002774,"Interpretations and Synoptic Mapping(PRISM) [Dowsett et al., 1994] project and the Pliocene Model Intercomparison",Paleoceanography,Modeling oxygen isotopes in the Pliocene: Large-scale features over the land and ocean,Pliocene Model Intercomparison Project
10.1016/j.quascirev.2018.03.008,"Z., 2013. Large-scale features of Pliocene climate: results from the Pliocene model intercomparison",Quaternary Science Reviews,"Pliocene and Pleistocene chronostratigraphy of continental sediments underlying the Altiplano at La Paz, Bolivia",Pliocene Model Intercomparison Project
10.3133/ofr20181148,"Research, Interpretation and Synoptic Mapping project (PRISM) and the Pliocene Model Intercomparison",Open-File Report,PRISM marine sites—The history of PRISM sea surface temperature estimation,Pliocene Model Intercomparison Project
10.1016/j.gloplacha.2015.02.001,"pre-industrial and Pliocene (Bragg et al., 2012) standards used within the Pliocene Model Intercomparison",Global and Planetary Change,Modelling the enigmatic Late Pliocene Glacial Event — Marine Isotope Stage M2,Pliocene Model Intercomparison Project
10.1016/j.marmicro.2017.10.008,"M.A., 2013. Largescale features of Pliocene climate: results from the Pliocene Model Intercomparison",Marine Micropaleontology,"Variability in diatom and silicoflagellate assemblages during mid-Pliocene glacial-interglacial cycles determined in Hole U1361A of IODP Expedition 318, Antarctic Wilkes Land Margin",Pliocene Model Intercomparison Project
10.1002/2016JD025231,"al. (2013), Large-scale features of Pliocene climate: Results from the Pliocene Model Intercomparison",Journal of Geophysical Research: Atmospheres,Monotonic decrease of the zonal SST gradient of the equatorial Pacific as a function of CO 2 concentration in CCSM3 and CCSM4,Pliocene Model Intercomparison Project
