10.1002/ldr.2461,"I): forest, dense bushland, sparse bushland, degraded land, bare rock, sisal plantation, built area, water body and cropland (conventional",Land Degradation & Development,Land Cover Transition in Northern Tanzania,SISAL
10.1002/j.2326-1951.1999.tb03697.x,"traditional rope making occur naturally, and they do make fine ropeshemp and sisal are good examples. Until recently all ropes and threads were made",The Sciences,Unnatural Acts,SISAL
10.1111/jwas.12061,"every year in April by scuba diving at 24 m depth in front of the port of Sisal, Yucatan, Mexico, and transported to the Marine Station facilities",Journal of the World Aquaculture Society,"Spawning and Larval Development of the Four-Sided Sea Cucumber, Isostichopus badionotus (Selenka 1867), under Controlled Conditions",SISAL
10.1016/j.jenvman.2013.12.037,"runoff such as peat moss, vegetable ﬁbres and their composites, sawdust, sisal ﬁbre (Agave sisalana), coconut ﬁbre (Cocos nucifera), vegetable-sponge",Journal of Environmental Management,Oil removal from runoff with natural sorbing filter fillers,SISAL
10.1016/0169-2046(90)90051-3,"agricultural town of Nakuru, rich fields of barley and wheat give way to sisal plantations and finally to a dense thorn bush and Lake Baringo",Landscape and Urban Planning,"Agriculture, research and tourism in the landscape of Lake Baringo, Kenya",SISAL
10.1016/j.watres.2007.06.061,"S.T., Mattiasson, B., 2005. Enhancement of anaerobic batch digestion of sisal pulp waste by mesophilic aerobic pre-treatment. Water Res. 39,",Water Research,Extracellular enzyme activities during regulated hydrolysis of high-solid organic wastes,SISAL
10.1002/jctb.5000401510,"Iins rcccntly bccn R rcvivcd dcmnnd for this fibm, which is similar to sisal, bnt  PARLIAMENTARY NEWS.  of J o w r grndc, nnd is prodiiccd",Journal of the Society of Chemical Industry,Parliamentary news,SISAL
10.1002/jctb.5000391611,"wero planted with  Ferrnglnous mass for t i e purificntion of gns is sisal, but tho cultivation of this plnnt shows no  now subject to axport",Journal of the Society of Chemical Industry,Trade notices,SISAL
10.1016/j.watres.2009.12.047,"Colom, J.F., Vidal, T., 2009. Application of laccasemediator systems to sisal pulp: an effective approach to biobleaching or functionalizing",Water Research,Biodegradability of kraft mill TCF biobleaching effluents: Application of enzymatic laccase-mediator system,SISAL
10.1080/00221686.2013.857365,"Costeros, Instituto de Ingeniería, Universidad Nacional Autónoma de México, Sisal, Mexico Email: atorresf@iingen.unam.mx TIAN-JIAN HSU, Associate",Journal of Hydraulic Research,On dam-break wave propagation and its implication to sediment erosion,SISAL
10.1016/j.ejrs.2016.02.001,"assessing agricultural land. ITC J. 3, 264–269. Mishra, A., Sahu, G.C., 1991. Sisal-the strongest vegetable ﬁber crop. Orissa Rev. Panigrahy, S.,",The Egyptian Journal of Remote Sensing and Space Science,"Assessment of land suitability and capability by integrating remote sensing and GIS for agriculture in Chamarajanagar district, Karnataka, India",SISAL
10.1080/21622515.2016.1253791,conditions  Anaerobic digestion/Fermentation conditions  Results  Milling  Sisal beer waste Sisal beer waste Sisal,Environmental Technology Reviews,Leading pretreatments for enhancing the degradability of lignocellulosic wastes and the final products,SISAL
10.1002/ep.11966,"American Institute of Chemical Engineers  natural ﬁbers such as coir, sisal, rami, etc. Out of these natural ﬁbers, banana ﬁber as a ﬁller",Environmental Progress & Sustainable Energy,Mechanical and water absorption properties of municipal solid waste and banana fiber-reinforced urea formaldehyde composites,SISAL
10.1002/jsfa.1550,western provinces of Kenya. The dried products are usually packed in sisal bags then transported to cosmopolitan markets such as Nairobi,Journal of the Science of Food and Agriculture,The pasting behaviour of lactic-fermented and drieduji (an East African sour porridge),SISAL
10.1002/2015GB005119,"meat, dairy products, eggs, and animal fats), ﬁber (e.g., cotton lint and sisal), tobacco, harvested biomass used for biofuels, and biomass contributing",Global Biogeochemical Cycles,Biogenic carbon fluxes from global agricultural production and consumption,SISAL
10.1525/aa.1973.75.4.02a00410,has  urban theme. His study avoids the pitfall of demonstrated in the case of sisal cultivation  characterizing the culture through the view- (Gross,American Anthropologist,: Town and Country in Brazil . Marvin Harris.,SISAL
10.1046/j.1523-1739.1997.95283.x,"(Kirindy/CFPF), and a private reserve (Analabe) largely altered by past sisal production. The remaining area consists of unallocated land in",Conservation Biology,Regional Biodiversity Planning and Lemur Conservation with GIS in Western Madagascar. Planeacion de la Biodiversidad Regional y Conservacion de Lemures con SIG en Madagascar Occidental,SISAL
10.1111/j.1365-2494.1962.tb00278.x,sometimes grow crops such as tobacco on the mounds and not on ordinary soil; sisal and maize also may grow better on the mounds. Just as the soil,Grass and Forage Science,ANTHILLS AND TERMITE MOUNDS IN PASTURES,SISAL
10.1016/j.watres.2016.01.008,"in its content. In wood, it constitutes about 40e50%; in leaf ﬁbers: sisal ﬁbers (55e73%), in bast ﬁbers: ﬂax 70e75%, hemp 75e80%, jute 60e65%,",Water Research,A review on modification methods to cellulose-based adsorbents to improve adsorption capacity,SISAL
10.1016/j.cageo.2016.10.005,"Mexico b Instituto de Ingeniería, Universidad Nacional Autónoma de México, Sisal, Mexico  ARTICLE INFO Keywords: Streamﬂow Recession Storage-discharge",Computers & Geosciences,HYDRORECESSION: A Matlab toolbox for streamflow recession analysis,SISAL
10.1111/j.1467-7679.1979.tb00291.x,Fishmeal Groundnuts Groundnut oil Jute Maize Palm oil Petroleum Rice Rubber Sisal Soyabeans Soyabean oil Sugar Tea Tin To_ba_cc.o. . _ Wheat  ~-  88.1,Development Policy Review,Statistlcal Appendix,SISAL
10.1111/j.1467-7679.1978.tb00284.x,total Iron ore Brazil Liberia Indiaa Mauritania Total listed L-ute and sisal Bangladesh Thai land Brazil Tanzania Kenya Angola Total ldcs Oh,Development Policy Review,Statistical Appendix,SISAL
10.1111/dpr.12143,Pulses Coconuts Oilseeds Plantains Fruits Vegetables Coffee Cashews Cotton Sisal Sugarcane Tea Tobacco Other cash crops  Agriculture – Livestock Cattle,Development Policy Review,Economywide Impact of Maize Export Bans on Agricultural Growth and Household Welfare in Tanzania: A Dynamic Computable General Equilibrium Model Analysis,SISAL
10.1111/j.1467-7679.2011.00520.x,"can manipulate policy to its own advantage. Mohamed Enterprises own a sisal bag factory in Morogoro, and in late 1999, just as the cashew",Development Policy Review,Marketing Reform? The Rise and Fall of Agricultural Liberalisation in Tanzania,SISAL
10.1111/blar.12062,"Spain: with extensive access to the sea, several of Yucata´ n’s ports (Sisal and Bacalar) had long become accustomed to trade activities with",Bulletin of Latin American Research,Yucatecan-Mexican Relations at the Time of Independence: The Yucatecan Pronunciamiento of 1821,SISAL
10.1080/00219266.1988.9654930,"technique was noted to be extremely effective. A cord, composed mainly of sisal, was secured at 90° to the bank across the stream floor and left",Journal of Biological Education,A simple technique for sampling cased-caddis larvae in a small freshwater stream,SISAL
10.1111/j.1548-1425.2010.01274_11.x,"transfer or relocate a wife to the land. Fields may have been bounded with sisal or other markers. But seasonal factors, the role of animals in",American Ethnologist,Women of Fes: Ambiguities of Urban Life in Morocco by Rachel Newcomb,SISAL
10.1111/j.1548-1425.2010.01274_6.x,"transfer or relocate a wife to the land. Fields may have been bounded with sisal or other markers. But seasonal factors, the role of animals in",American Ethnologist,Making Virtual Worlds: Linden Lab and Second Life by Thomas M. Malaby,SISAL
10.1080/09670870110065578,"Farrell et al.  1985), Florida ditch banks (Orsenigo, 1977) and Mozambican sisal (Hindorf, 1972) has been reported. Ojo (1997) determined the optimum",International Journal of Pest Management,"Pests, diseases and weeds of Napier grass, Pennisetum purpureum: A review",SISAL
10.1080/10408398.2011.636156,(2005). Effect of microstructure on the tensile and fracture properties of sisal ﬁber/starch-based composites. J. Compos. Mater. 40(1):21–35.   THERMOPLASTIC,Critical Reviews in Food Science and Nutrition,Thermoplastic Starch Processing and Characteristics—A Review,SISAL
10.2752/174967811X13179748904256,"“coarse animal fibers, heavygauge rope, and plant-based fibers such as sisal, hemp, or jute.”1 Thus, the works documented in her book are often",The Journal of Modern Craft,Architectonic: Thought on the Loom,SISAL
10.1080/00139157.2013.765307,"consume introduced plants, including eucalyptus pollen, guava fruit, and sisal pollen.31 Alien trees also contribute to carbon sequestration",Environment: Science and Policy for Sustainable Development,Melting Pots of Biodiversity: Tropical Smallholder Farm Landscapes as Guarantors of Sustainability,SISAL
10.1002/adv.21556,"COMPOSITES ADPM was used for modiﬁcation of ﬁbers (glass, rice straw ﬁber, sisal, etc.) used for re-inforcement of composites. Glass Fibers Glass",Advances in Polymer Technology,Admicellar Polymerization and Its Application in Textiles,SISAL
10.1002/adv.21448,"nanocomposites with CNC, extracted from bagasse,12,13 syngonanthus nitens,14 sisal,15 palm tree,16,17 bamboo,18–20 banana ﬁber,21 etc., can be found",Advances in Polymer Technology,Thermal and Mechanical Properties of Natural Rubber Composites Reinforced with Cellulose Nanocrystals from Southern Pine,SISAL
10.1002/ente.201300088,"reducing the size of the feed particles from 200 to 50 mm.[14] Using sisal fiber waste,[15] a reduction in particle size from 100 to 2 mm",Energy Technology,Analysis of the Effect of Cellulose Particle Size on the Rate of Microbial Hydrolysis for Bioethanol Production,SISAL
10.1111/1750-3841.13427,"A. 2008. Extraction of cellulose and preparation of nanocellulose from sisal ﬁbers. Cellulose 15(1):149–59. Nagarajan M, Benjakul S, Prodpran",Journal of Food Science,Effect of Incorporation Nanocrystalline Corn Straw Cellulose and Polyethylene Glycol on Properties of Biodegradable Films,SISAL
10.1111/j.1548-1425.2010.01274_8.x,"transfer or relocate a wife to the land. Fields may have been bounded with sisal or other markers. But seasonal factors, the role of animals in",American Ethnologist,Mortgaging the Ancestors: Ideologies of Attachment in Africa by Parker Shipton,SISAL
10.1111/j.1467-8292.1939.tb00575.x,"region of monoculture. Its entire economy turns on henequen (the agave, or sisal) as its major axis, and so true is this that before this cultivation",Annals of Public and Cooperative Economics,VIII THE AGRARIAN PROBLEM IN YUCATAN.,SISAL
10.1111/j.1468-0084.1978.mp40001006.x,Commodity Prices (1957-1975)  Commodity Coffee Cocoa Tea Sugar Cotton Jute Sisal Rubber Copper Tin Lead Zinc All commodities  CV 26.79 41.96 12.34 112.40,Oxford Bulletin of Economics and Statistics,MEASURING THE INSTABILITY OF TIME SERIES DATA,SISAL
10.1080/0035919X.2011.600353,students working on the extraction of the compound diosgenin from the huge sisal plantations in the northern KwaZulu-Natal. The relevance of diosgenin,Transactions of the Royal Society of South Africa,From humble beginnings to a modern-day academic institution: 100 years of Chemistry at the University of Natal in Pietermaritzburg,SISAL
10.1002/app.20070,natural rubber composites has been studied by Ismail and coworkers.9 Use of sisal and coir ﬁbers as reinforcing ﬁllers for NR has been investigated,Journal of Applied Polymer Science,Cure characteristics and mechanical properties of short nylon fiber-reinforced nitrile rubber composites,SISAL
10.1002/app.42253,"(such as wood pulp, kenaf, hemp, Flax, Jute, henequen, pineapple leaf, sisal, etc.) and natural resins.9–11 In the wood-based product industry,",Journal of Applied Polymer Science,"Novel composite sandwich structure from green materials: Mechanical, physical, and biological evaluation",SISAL
