10.1080/23766808.2016.1222189,http://www.ﬁshnet2.net/. [38] GBIF. 2014 [cited 2014 Jan 10]. Available from: www. gbif.net. [39] Vertnet. 2014 [cited 2014 Jan 10]. Available from: http:// vertnet.org/. [40],Neotropical Biodiversity,Freshwater vertebrate and invertebrate diversity patterns in an Andean-Amazon basin: implications for conservation efforts,VertNet
10.1111/j.1523-1739.2011.01725.x,"the European Distributed Institute of Taxonomy (www.etaxonomy.eu), and Vertnet (www.vertnet.org), highlight what can be accomplished with a",Conservation Biology,The Role of Natural History Institutions and Bioinformatics in Conservation Biology,VertNet
10.1002/jwmg.21651,"agencies, and peer-reviewed publications. We acquired the museum records from VertNet (vertnet.org, accessed 15 Jun 2016), a collaborative biodiversity",The Journal of Wildlife Management,Effects on white‐tailed deer following eastern coyote colonization,VertNet
10.1016/j.toxcx.2021.100076,"formation Serving Our Nation (BISON, 2021), Biocollections (iDigBio, 2021), VertNet (2021), Arctos (2021), as well as country specific plat­ forms",Toxicon: X,Addressing the global snakebite crisis with geo-spatial analyses – Recent advances and future direction,VertNet
10.1080/21658005.2018.1520682,"2016; Alshammari, Busais, and Ibrahim 2017; Eskandarzadeh et al. 2018), VertNet (http://www.vert net.org) as well as of the data of the ﬁeld",Zoology and Ecology,Modelling the habitat suitability of the Arabian sand boa Eryx jayakari (Serpentes: Erycidae),VertNet
10.1016/j.biocon.2015.10.004,"level extinction. Similar studies could use museum or database (i.e. VertNet) records in lieu of actual survey data. However, caution must",Biological Conservation,Integrating dynamic occupancy modeling and genetics to infer the status of the imperiled flattened musk turtle,VertNet
10.1111/ecog.03747,(Jones et al. 2009) except for three species for which occurrence records from VertNet (< www.vertnet.org >) were used to incorporate substantial updates,Ecography,A trait-based framework for discerning drivers of species co-occurrence across heterogeneous landscapes,VertNet
10.1002/ecs2.3134,"databases: Global Biodiversity Information Facility (GBIF.org 2018), VertNet beta (VertNet 2018), and Mammal Species",Ecosphere,An assessment of the niche centroid hypothesis: Pteropus lylei (Chiroptera),VertNet
10.1111/1365-2656.12738,"than SAL. We downloaded all occurrence records for each species from the VertNet data portal (version 2016-­09-­29, www. vertnet.org) and cleaned",Journal of Animal Ecology,"Physiology at near-critical temperatures, but not critical limits, varies between two lizard species that partition the thermal environment",VertNet
10.1016/j.tree.2013.05.002,"its publication. Having collective databases such as GBIF, OBIS, and VertNet, is simpler in terms of user access, and for the development",Trends in Ecology & Evolution,"Biodiversity data should be published, cited, and peer reviewed",VertNet
10.1002/meet.14504901331,and discovered online through cloud-hosted databases such as GBIF and VertNet. While increased use of standard vocabularies like Darwin Core,Proceedings of the American Society for Information Science and Technology,"Completeness, coverage & equivalence in scientific data records",VertNet
10.1007/s12237-015-0045-1,are using GitHub to manage and record corrections made to data sets (VertNet http://vertnet.org/resources/ issuetrackingguide.html). Very,Estuaries and Coasts,Data Infrastructures for Estuarine and Coastal Ecological Syntheses,VertNet
10.1016/j.ecoinf.2015.06.010,Synthesis (CSAS) Geoportal Terrestrial Ecosystem Research Network (TERN) VertNet  The ORNL DAAC provides data and information relevant to biogeochemical,Ecological Informatics,Ecological data sharing,VertNet
10.1016/j.biocon.2013.07.042,"Facility (GBIF) and its data providers (e.g. aggregator networks like VertNet, MANIS, ORNIS, OBIS or the hundreds of institutions involved)",Biological Conservation,Strategies for the sustainability of online open-access biodiversity databases,VertNet
10.1111/mec.13254,"in record keeping protocols for other forms of biological data (e.g. VertNet, Constable et al. 2010). Preferably, genetic data should be",Molecular Ecology,Not the time or the place: the missing spatio-temporal link in publicly available genetic data,VertNet
10.1111/mec.12292,STRUCTURE. Localities for each species represent vouchered specimens in the VertNet database (solid circles) or from our own sampling (circles with,Molecular Ecology,Using genomic data to revisit an early example of reproductive character displacement in Haitian Anolis lizards,VertNet
10.1111/brv.12410,(1983)  turtle  Emydura victoriae  Victoria river red-faced  1 Australia  VertNet (2016)  turtle  Chelydridae  Chelydra serpentina  Common snapping,Biological Reviews,Salinity tolerances and use of saline environments by freshwater turtles: implications of sea level rise,VertNet
10.1080/00222933.2019.1599458,"Collaborative Collection Management Solution (http://arctos. database.museum) and Vertnet (http://vertnet.org) databases, which were accessed on January",Journal of Natural History,Breeding in the gray-headed tody-flycatcher (Aves: Tyrannidae) with comments on geographical variation in reproductive traits within the genus Todirostrum,VertNet
10.1111/ibi.12693,"of Hylexetastes were collected (Table S1) from museum specimens using Vertnet (2016), from bird vocalization recordings deposited in Xeno-canto",Ibis,Molecular systematics of the Amazonian endemic genus Hylexetastes (Aves: Dendrocolaptidae): taxonomic and conservation implications,VertNet
10.1016/j.biocon.2022.109556,"observations (e.g., Global Biodiversity Information Facility (GBIF), VertNet) or CS programs (e.g., iNaturalist) only host presenceonly observations,",Biological Conservation,The potential of semi-structured citizen science data as a supplement for conservation decision-making: Validating the performance of eBird against targeted avian monitoring efforts,VertNet
10.1080/00222933.2019.1669730,"black denote specimens examined by the authors, grey records are from VertNet, and white records are from the literature (see Materials and",Journal of Natural History,A remarkable example of suspected Batesian mimicry of Gaboon Vipers (Reptilia: Viperidae: Bitis gabonica ) by Congolese Giant Toads (Amphibia: Bufonidae: Sclerophrys channingi ),VertNet
10.1002/aps3.11318,"Global Biodiversity Information Facility (GBIF; https​://www.gbif.org), VertNet (http://vertn​et.org), speciesLink (http://splink.cria.org.br),",Applications in Plant Sciences,"A new model for efficient, need‐driven progress in generating primary biodiversity information resources",VertNet
10.1111/brv.12359,"H., Guralnick, R., Wieczorek, J., Spencer, C., Peterson, A. T. & The VertNet Steering Committee (2010). VertNet: a new",Biological Reviews,Building essential biodiversity variables (EBVs) of species distribution and abundance at a global scale,VertNet
10.1016/j.yqres.2015.02.005,"marmot), and N. cinerea (bushy-tailed woodrat) (Reid, 2006; IUCN, 2014; VertNet database, 2014). Stirton concluded that all the bones recovered",Quaternary Research,"The Mescal Cave Fauna (San Bernardino County, California) and testing assumptions of habitat fidelity in the Quaternary fossil record",VertNet
10.1080/02724634.2012.716114,"all of the participating collections. A key example for vertebrates is VertNet (vertnet.org/index.php), which as of this writing links 72 different",Journal of Vertebrate Paleontology,From card catalogs to computers: databases in vertebrate paleontology,VertNet
10.1002/ajb2.1059,"2012a) have focused on the rich data available for vertebrates (e.g., VertNet, http://vertnet.org/; FishBase, http://www.fishbase.org/; AmphibiaWeb,",American Journal of Botany,Challenges of comprehensive taxon sampling in comparative biology: Wrestling with rosids,VertNet
10.1111/jbi.13114,Pleistocene climatic fluctuations. GPS coordinates were obtained from the VertNet database. Localities outside the range of C. ruber were removed,Journal of Biogeography,Pleistocene climatic fluctuations drive isolation and secondary contact in the red diamond rattlesnake ( Crotalus ruber ) in Baja California,VertNet
10.1111/mec.14260,occurrences from our own fieldwork and mappable museum specimen records in VERTNET (www. vertnet.org) that could confidently be attributed to each,Molecular Ecology,Idiosyncratic responses to climate-driven forest fragmentation and marine incursions in reed frogs from Central Africa and the Gulf of Guinea Islands,VertNet
10.1111/jbi.13511,Global Biodiversity Information Facility (https:// www.gbif.org) and VertNet databases (https://www.vertnet.org) to project habitat suitability,Journal of Biogeography,Evaluating ecological niche model accuracy in predicting biotic invasions using South Florida's exotic lizard community,VertNet
10.1111/jav.01771,exception of Fig. 1. Georeferenced mass data were downloaded directly from VertNet (a database of vouchered biodiversity records and their associated,Journal of Avian Biology,Niche theory and its relation to morphology and phenotype in geographic space: a case study in woodpeckers (Picidae),VertNet
10.1111/evo.12336,We gathered locality information from museum collections by searching VertNet (vertnet.org) and MaNIS (manisnet.org) for “Tamiasciurus” and,Evolution,DIVERSIFICATION AND GENE FLOW IN NASCENT LINEAGES OF ISLAND AND MAINLAND NORTH AMERICAN TREE SQUIRRELS ( TAMIASCIURUS ),VertNet
10.1016/j.biocon.2013.07.032,"Wieczorek, J., Spencer, C., Townsend Peterson, A., Committee, T.V.S., 2010. VertNet: a new model for biodiversity data sharing. PLoS Biol. 8, 1–4. Corantioquia,",Biological Conservation,Using limited data to detect changes in species distributions: Insights from Amazon parrots in Venezuela,VertNet
10.1111/ecog.01154,"current records, there are large projects like GBIF (www.gbif.org/) or VertNet (www.vertnet.org/), or citizen science projects, like Proyecto",Ecography,"paleobioDB: an R package for downloading, visualizing and processing data from the Paleobiology Database",VertNet
10.1016/j.ecolmodel.2015.10.031,ﬁnanced by the National Science Foundation conducting to what is now VertNet (http://www.vertnet.org/) are an example of this kind of effort.   380,Ecological Modelling,"Using one vs. many, sensitivity and uncertainty analyses of species distribution models with focus on conservation area networks",VertNet
10.1017/pab.2016.42,"explored from six databases, including iDigBio, Paleobiology Database, VertNet, BISON, Neotoma, and GBIF. These were chosen from a priori knowledge",Paleobiology,Horses in the Cloud: big data exploration and mining of fossil and extant Equus (Mammalia: Equidae),VertNet
