10.1016/j.quaint.2015.02.064,http://www.marinespecies.org/foraminifera. Site accessed January 2015. World register of marine,Quaternary International,"Mid-Holocene Aboriginal occupation of offshore islands in northern Australia? A reassessment of Wurdukanhan, Mornington Island, southern Gulf of Carpentaria, Australia",World Register of Marine Species
10.1016/j.ecolmodel.2015.05.033,with ofﬁcially accepted scientiﬁc names available from the authoritative World Register of Marine,Ecological Modelling,Classifying degrees of species commonness: North Sea fish as a case study,World Register of Marine Species
10.1016/j.marpolbul.2015.04.033,scientiﬁc names used in this study conform to the nomenclature of the World Register of Marine,Marine Pollution Bulletin,Evaluating the potential of ecological niche modelling as a component in marine non-indigenous species risk assessments,World Register of Marine Species
10.1080/17451000.2015.1080370,"G., Fauchald K., editors. World Polychaeta database. Accessed through: World Register of Marine",Marine Biology Research,The invasive worm Hydroides elegans (Polychaeta – Serpulidae) in southeastern Brazil and its potential to dominate hard substrata,World Register of Marine Species
10.1080/00222933.2019.1592257,the Black Sea. J Plankton Res. 14:447–458. WoRMS Editorial Board. 2018. World Register of Marine,Journal of Natural History,"Seasonal cycle of zooplankton abundance and biomass in Hamsilos Bay, Sinop, Southern Black Sea, Turkey",World Register of Marine Species
10.1080/03036758.2016.1182930,"Annales des Sciences Naturelles, Series 3. 8:241–270. Emig CC. 2010. World register of marine",Journal of the Royal Society of New Zealand,"Magasella sanguinea (Leach, 1814) and Magasella haurakiensis (Allan, 1931): resolving the taxonomic placement of these endemic New Zealand brachiopods using morphological and molecular traits",World Register of Marine Species
10.1080/01490419.2014.902881,and • the extensive collection of distribution records available in the World Register of Marine,Marine Geodesy,Marine Regions: Towards a Global Standard for Georeferenced Marine Names and Boundaries,World Register of Marine Species
10.1016/j.jmarsys.2017.01.013,identiﬁed to the lowest possible taxonomic level in accordance with the World Register of Marine,Journal of Marine Systems,"The annual planktonic protist community structure in an ice-free high Arctic fjord (Adventfjorden, West Spitsbergen)",World Register of Marine Species
10.1002/lno.11035,"Euphausiacea Database, Euphausia mutica Hansen, 1905. Accessed through: World Register of Marine",Limnology and Oceanography,Influence of oceanographic variability on near-shore microbial communities of the sub-Antarctic Prince Edward Islands,World Register of Marine Species
10.1080/03946975.2019.1641667,"database. Stygocyathura Botosaneanu & Stock, 1982. Accessed through: World Register of Marine",Tropical Zoology,"A new Stygocyathura (Isopoda, Cymothoida, Anthuridae) from the subterranean waters of Socotra Island (Indian Ocean)",World Register of Marine Species
10.1111/eva.12696,"ojms.2013.31003 MolluscaBase (2018). Bathymodiolus Kenk & B. R. Wilson, 1985. Accessed through: World Register of Marine",Evolutionary Applications,Population genetic structure of the deep-sea mussel Bathymodiolus platifron s (Bivalvia: Mytilidae) in the Northwest Pacific,World Register of Marine Species
10.1016/j.ecolind.2022.109512,"networks. Trends Ecol. Evol. 20 (7), 402–409. WoRMS Editorial Board (2022). World Register of Marine",Ecological Indicators,"Habitat-builders complexity boosts associated fauna functional trait richness (Zostera marina meadows, Baltic Sea)",World Register of Marine Species
10.1016/j.dsr.2015.09.004,"British Isles” (Mortensen, 1927). Scientiﬁc names are checked with the World Register of Marine",Deep Sea Research Part I: Oceanographic Research Papers,"Starfish (Asteroidea, Echinodermata) from the Faroe Islands; spatial distribution and abundance",World Register of Marine Species
10.1016/j.revmic.2012.09.002,"171–207  205  Brandao, S., Horne, D., 2011. Cyprideis torosa (Jones, 1850). World Register of Marine",Revue de Micropaléontologie,"The genus Cyprideis Jones, 1857 (Crustacea, Ostracoda) in the Neogene of Italy: A geometric morphometric approach",World Register of Marine Species
10.1016/j.polar.2012.01.001,controlled Excel format based on agreement such as the taxonomic project (World Register of Marine,Polar Science,The implementation of initial data populations of environmental data and creation of a primary working database,World Register of Marine Species
10.1016/j.marpol.2021.104850,https://doi.org/10.1126/ science.1132294. WoRMS Editorial Board (2020). World Register of Marine,Marine Policy,Spatial assessment of benthic habitats vulnerability to bottom fishing in a Mediterranean seamount,World Register of Marine Species
10.1080/14888386.2018.1476182,"back at the laboratory, based on the criteria of Skoglund (2002) and the World Register of Marine",Biodiversity,"Geographic range extension of gastropods in the coast of Guerrero, Mexico",World Register of Marine Species
10.1080/08920753.2018.1405326,and tropical seas. Technical taxonomic terms were sourced from WORMS – World Register of Marine,Coastal Management,Empowering Stakeholders to Manage Stinging Jellyfish: A Perspective,World Register of Marine Species
10.1016/j.fishres.2016.05.002,Serial Number (TSN) were converted into AphiaID and classiﬁed using the World Register of Marine,Fisheries Research,The response of the North Sea demersal fish community to changing fishing pressure as seen through the prism of the large fish indicator,World Register of Marine Species
10.1016/j.bse.2016.10.021,"publication. National University of Ireland, Galway. Accessed through: World Register of Marine",Biochemical Systematics and Ecology,Molecular cloning reveals co-occurring species behind red tide blooms of the harmful dinoflagellate Cochlodinium polykrikoides,World Register of Marine Species
10.1080/00288330.2013.810159,"P, Boxshall GA, Fauchald K, Gordon DP, Hoeksema BW, et al. eds. 2012b. World register of marine",New Zealand Journal of Marine and Freshwater Research,Contribution of the Leigh Marine Laboratory to knowledge of marine species diversity,World Register of Marine Species
10.1080/14772000.2012.753137,"POORE, G.C.B., READ, G., STO¨ HR, S., WALTER, T.C. & COSTELLO, M.J. 2012. World Register of Marine",Systematics and Biodiversity,Phylogeny and taxonomy of the Kermia–Pseudodaphnella (Mollusca: Gastropoda: Raphitomidae) genus complex: a remarkable radiation via diversification of larval development,World Register of Marine Species
10.1080/14888386.2011.627497,included. As taxonomic databases such as the Catalogue of Life and the World Register of Marine,Biodiversity,Biodiversity News,World Register of Marine Species
10.1007/s12237-013-9753-6,"P. Bouchet, S. Gofas, and G. Rosenberg. Accessed on 2012-07-19 through World Register of Marine",Estuaries and Coasts,Phytoplankton Growth Balanced by Clam and Zooplankton Grazing and Net Transport into the Low-Salinity Zone of the San Francisco Estuary,World Register of Marine Species
10.1002/jez.b.22940,"The Biological Bulletin, 115, 147–152. WoRMS Editorial Board (2019). World register of marine",Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,The eventful history of nonembryonic development in tunicates,World Register of Marine Species
10.1016/j.dsr2.2017.09.020,"Väinölä, R., Vonk, R., White, K., Zeidler, W., 2017. Accessed through: World Register of Marine",Deep Sea Research Part II: Topical Studies in Oceanography,"Abyssal Rhachotropis (Eusiroidea, Amphipoda) from the Sea of Okhotsk",World Register of Marine Species
10.1016/j.tice.2019.01.008,"15–21. Gibson, D.I., 2014. Podocotyle Dujardin, 1845. Accessed through: World Register of Marine",Tissue and Cell,"Ultrastructural organisation of the spermatozoon of Allopodocotyle tunisiensis Derbel and Neifar, 2009 (Digenea, Opecoelidae), an intestinal parasite of Solea aegyptiaca Chabanaud, 1927 (Teleostei, Soleidae)",World Register of Marine Species
10.1080/14772000.2019.1677798,"Protocols: A Guide to Methods and Applications, 18, 315–322. WoRMS, E. (2015). World register of marine",Systematics and Biodiversity,"Molecular species delimitation of reef-building coral genera, Porites and Turbinaria (Anthozoa: Scleractinia), from the intertidal fringing reefs of Gulf of Kutch, India reveals unrecognized diversity",World Register of Marine Species
10.1111/ecog.01855,Finarelli 2009). All living stony corals were identified through the World Register of Marine,Ecography,Evolutionary dispersal drives the latitudinal diversity gradient of stony corals,World Register of Marine Species
10.1016/j.quaint.2015.02.061,collection of the NHMC. Updated taxonomy and nomenclature used follow World Register of Marine,Quaternary International,"Biodiversity of sea slugs and shelled relatives (Mollusca: Gastropoda) of the Cretan Archipelago (Greece), with taxonomic remarks on selected species",World Register of Marine Species
10.1111/let.12350,classiﬁcation was based upon Ahyong et al. (2011) and generic occurrences in the World Register of Marine,Lethaia,Coevolution of post‐Palaeozoic arthropod basibiont diversity and encrusting bryozoan epibiont diversity?,World Register of Marine Species
10.1016/j.pocean.2018.12.008,"1982, 1989, 1993; PancucciPapadopoulou et al., 1999) was checked with the World Register of Marine",Progress in Oceanography,Macrofaunal assemblages in canyon and adjacent slope of the NW and Central Mediterranean systems,World Register of Marine Species
10.1016/j.marpolbul.2018.12.003,counted and weighed (fresh weight). The taxonomic nomenclature followed the World Register of Marine,Marine Pollution Bulletin,Effects of the installation of offshore pipelines on macrozoobenthic communities (northern and central Adriatic Sea),World Register of Marine Species
10.1016/j.dsr2.2014.08.006,"1889. In: Mah, C.L. (Ed.), World Asteroidea Database. Accessed through: World Register of Marine",Deep Sea Research Part II: Topical Studies in Oceanography,Abyssal echinoid and asteroid fauna of the North Pacific,World Register of Marine Species
10.1002/fsn3.360,"undulata (Lightfoot, 1786). In: MolluscaBase (2015). Accessed through: World Register of Marine",Food Science & Nutrition,Investigation of nutritional properties of three species of marine turban snails for human consumption,World Register of Marine Species
10.1111/faf.12198,"J., Hernandez, F., Bailly, N., BouryEsnault, N., … Horton, T. (2016). World Register of Marine",Fish and Fisheries,Cleaner fishes and shrimp diversity and a re-evaluation of cleaning symbioses,World Register of Marine Species
10.1111/eva.12553,"Boury-Esnault, N., Brandão, S. N., Costello, M. J., … Zeidler, W. (2017). World Register of Marine",Evolutionary Applications,"Native and invasive taxa on the Pacific coast of South America: Impacts on aquaculture, traceability and biodiversity of blue mussels ( Mytilus spp.)",World Register of Marine Species
10.1016/j.jembe.2016.12.002,"nematode community structure. Mol. Ecol. 22, 5456–5471. Davie, P., 2015. World register of marine",Journal of Experimental Marine Biology and Ecology,Comparison of morphological and next generation DNA sequencing methods for assessing zooplankton assemblages,World Register of Marine Species
10.1016/j.seares.2013.04.009,origin of the alien species is based on information achieved from WoRMS — World Register of Marine,Journal of Sea Research,Spatial distribution and temporal trends of soft-bottom marine benthic alien species collected during the period 1989–2008 in the Nervión estuary (southeastern Bay of Biscay),World Register of Marine Species
10.1016/j.actao.2015.04.001,"les-activites/projets/delimitations-maritimes/espaces-francais/. WoRMS Editorial Board, 2014. World Register of Marine",Acta Oecologica,"First inventory of the Crustacea (Decapoda, Stomatopoda) of Juan de Nova Island with ecological observations and comparison with nearby islands in the Mozambique channel (Europa, Glorieuses, Mayotte)",World Register of Marine Species
10.1016/j.ecss.2017.08.012,"J. Fish. Res. Board Can. 36, 1197e1206. WoRMS Editorial Board, 2014. World Register of Marine","Estuarine, Coastal and Shelf Science",Hydrodynamic conditioning of diversity and functional traits in subtidal estuarine macrozoobenthic communities,World Register of Marine Species
10.1016/j.annpal.2018.01.002,"F., Gross, O., (2017). World Foraminifera Database. Accessed through: World Register of Marine",Annales de Paléontologie,Les ostracodes plio-pléistocènes de la côte orientale de la Péninsule du Cap Bon (Tunisie),World Register of Marine Species
10.1016/j.gecco.2017.05.006,"for the calculation. In all cases, species names were veriﬁed using the World Register of Marine",Global Ecology and Conservation,Quantifying the trade in marine ornamental fishes into Switzerland and an estimation of imports from the European Union,World Register of Marine Species
10.1016/j.biocon.2016.06.013,alien and invasive status to the geographic occurrence of species in the World Register of Marine,Biological Conservation,A vision for global monitoring of biological invasions,World Register of Marine Species
10.1007/s11356-022-20471-z,"Glasby et al. (2009), Pinder (2010), and Muir and Hossain (2014). The World Register of Marine",Environmental Science and Pollution Research,Intertidal macroinvertebrate community structure in a subtropical channel is driven by sediment properties across different land-use types,World Register of Marine Species
10.1007/s12237-015-0045-1,biodiversity project relevant to coastal and estuarine science is the World Register of Marine,Estuaries and Coasts,Data Infrastructures for Estuarine and Coastal Ecological Syntheses,World Register of Marine Species
10.1111/gcb.14469,with the original cited literature. Nomenclature is consistent with the World Register of Marine,Global Change Biology,Climate change opens new frontiers for marine species in the Arctic: Current trends and future invasion risks,World Register of Marine Species
10.1111/geb.12372,"different taxa. Ecology, 87, 1886–1895. WoRMS Editorial Board (2013) World Register of Marine",Global Ecology and Biogeography,Between-taxon matching of common and rare species richness patterns,World Register of Marine Species
10.1111/cla.12194,"M., Gofas, S. 2015. Glossodoris. MolluscaBase 2015. Accessed through: World Register of Marine",Cladistics,"Molecular phylogeny of Glossodoris (Ehrenberg, 1831) nudibranchs and related genera reveals cryptic and pseudocryptic species complexes",World Register of Marine Species
10.1016/j.bse.2014.06.010,"Alderslade, P., 1989. J. Nat. Prod. 52, 1303. WoRMS Editorial Board, 2013. World Register of Marine",Biochemical Systematics and Ecology,Sesquiterpenoids and steroids from gorgonian Echinogorgia sassapo reticulate,World Register of Marine Species
10.1016/j.biocon.2013.07.042,on the authors experience. VLIZ = Flanders Marine Institute; WoRMS = World Register of Marine,Biological Conservation,Strategies for the sustainability of online open-access biodiversity databases,World Register of Marine Species
10.1111/ivb.12151,Diss. Masters Theses Campus Access: 1–197. WoRMS Editorial Board 2016. World Register of Marine,Invertebrate Biology,Phylogenetic distribution of regeneration and asexual reproduction in Annelida: regeneration is ancestral and fission evolves in regenerative clades,World Register of Marine Species
10.1111/maec.12418,"Rosenberg, G. (2015). Tegula funebralis. In MolluscaBase. Retrieved from World Register of Marine",Marine Ecology,Underwater video reveals decreased activity of rocky intertidal snails during high tides and cooler days,World Register of Marine Species
10.1080/03632415.2012.714323,"decade,  1950s, and the number of scientists involved in describing spe- the World Register of Marine",Fisheries,A Census of Fishes and Everything They Eat: How the Census of Marine Life Advanced Fisheries Science,World Register of Marine Species
10.1080/00222933.2014.905125,presence of five prostomial appendages (two palps and three antennae) (World Register of Marine,Journal of Natural History,"Marphysa cinari , a new species of Eunicidae (Polychaeta) from the coasts of Turkey (eastern Mediterranean) and re-descriptions of Marphysa kinbergi McIntosh, 1910 and Marphysa disjuncta Hartman, 1961",World Register of Marine Species
10.1080/00222933.2017.1293180,transport to the deep-sea. Mar Biol. 53:249–255. WoRMS Editorial Board. 2017. World Register of Marine,Journal of Natural History,Pelagic tunicates in the China Seas,World Register of Marine Species
