10.1111/ddi.12386,"climatic data for each cell were  Unpredictable new species obtained from WORLDCLIM (version 1.3, www.worldclim.org; see Hijmans et al., 2005)",Diversity and Distributions,The unpredictable characteristics of the localities where new Iberian species will be discovered,WorldClim
10.1890/12-1018.1,and precipitation of the wettest and driest months were extracted from WorldClim-Global Climate Data (available online).3 These seven indicators,Ecological Applications,Priority setting for invasive species management: risk assessment of Ponto-Caspian invasive species into Great Britain,WorldClim
10.1111/1365-2745.12712,"Mean annual precipitation within each plot was obtained from the updated WorldClim global climate data repository (Hijmans et al. 2005), with",Journal of Ecology,Precipitation mediates the effect of human disturbance on the Brazilian Caatinga vegetation,WorldClim
10.1111/j.1472-4642.2011.00772.x,"based upon their importance to Pinus ecology. Five were obtained from the WORLDCLIM database (Hijmans et al., 2005): annual mean temperature,",Diversity and Distributions,Pine invasions: climate predicts invasion success; something else predicts failure,WorldClim
10.1111/j.1439-037X.2012.00522.x,2050 time slice with 2.5 arc-min resolution (5 km2 resolution) and the WorldClim baseline (1960 –1990) climate data with 30 arc-s resolution,Journal of Agronomy and Crop Science,Evaluation of Genetic Traits for Improving Productivity and Adaptation of Groundnut to Climate Change in India,WorldClim
10.1111/geb.12548,in all graphs and tables). Climate and elevation data were taken from WorldClim (http://www.worldclim.org) and projected to the Mollweide,Global Ecology and Biogeography,Elevational species richness gradients in a hyperdiverse insect taxon: a global meta-study on geometrid moths,WorldClim
10.1016/j.ecolmodel.2015.09.009,"allow inference of such species-speciﬁc physiological constraints we used WorldClim 1.4 precipitation and temperature  data (Hijmans et al., 2005).",Ecological Modelling,A high-resolution model of bat diversity and endemism for continental Africa,WorldClim
10.1016/j.ecolmodel.2015.06.032,"(Table 2) for the current conditions (1950–2000) were obtained from the WorldClim database (Hijmans et al., 2005) at 2.5 arcmin resolution.",Ecological Modelling,Winners and losers of climate change for the genus Merodon (Diptera: Syrphidae) across the Balkan Peninsula,WorldClim
10.1111/tgis.12214,"night raster layer, MODIS-derived estimates of net primary productivity, WorldClim average temperature and precipitation data, and of course",Transactions in GIS,Improving Large Area Population Mapping Using Geotweet Densities,WorldClim
10.1016/j.rse.2012.12.025,"90 m SRTM data (USGS, 2004) and bioclimatic variables, downloaded from WorldClim-Global Climate data (Hijmans et al., 2005). WorldClim-Global",Remote Sensing of Environment,A land cover map of Latin America and the Caribbean in the framework of the SERENA project,WorldClim
10.1016/j.envsci.2010.10.007,"the summer will rise by 3 K on average (see Govindasamy et al., 2003; WORLDCLIM, 2010). If the climate changes as Govindasamy et al. (2003)",Environmental Science & Policy,Impacts of climate change on European critical infrastructures: The case of the power sector,WorldClim
10.1016/j.pbi.2011.03.024,"interpolated from the nearest meteorological stations, obtained from the WorldClim database www.worldclim.org) is impossible without a better",Current Opinion in Plant Biology,What does Arabidopsis natural variation teach us (and does not teach us) about adaptation in plants?,WorldClim
10.1111/nph.13889,"that were native to sampling sites to extract 19 climate variables from WORLDCLIM v.1.4 (Hijmans et al., 2005) using ARCGIS 9.2 (ESRI, 2006).",New Phytologist,Bark thickness across the angiosperms: more than just fire,WorldClim
10.1111/j.1469-8137.2011.03648.x,"variables available for current conditions (1950–2000) derived from the WorldClim global climate database (Hijmans et al., 2005) at spatial",New Phytologist,Adaptation to drought in two wild tomato species: the evolution of the Asr gene family,WorldClim
10.1111/nph.14048,"(MAT) and other climatic variables for each site were obtained using the WorldClim database (http://www.worldclim.org) (Hijmans et al., 2005)",New Phytologist,Scots pine fine roots adjust along a 2000-km latitudinal climatic gradient,WorldClim
10.1111/1365-2435.12060,"annual maximum air temperatures (MAMT; averaged between 1950 and 2000; WorldClim (2011)) across the range of P. fremontii (Little, 1971) in",Functional Ecology,Conservative leaf economic traits correlate with fast growth of genotypes of a foundation riparian species near the thermal maximum extent of its geographic range,WorldClim
10.1111/geb.12066,"bioclimatic variables (see Appendix S3 for a list of variables) from the WORLDCLIM database (Hijmans et al., 2005; monthly data from the period",Global Ecology and Biogeography,How comparable are species distributions along elevational and latitudinal climate gradients?,WorldClim
10.1111/aje.12345,data Nineteen current bioclim climate data (Table 1) were downloaded from the WorldClim database according to Hijmans et al. (2005) at 30 arc seconds,African Journal of Ecology,Climate Change Impacts on Faidherbia albida (Delile) A. Chev. Distribution in Dry Lands of Ethiopia,WorldClim
10.1111/geb.12102,"driest quarter, and  precipitation of the warmest quarter (these are WorldClim’s Bioclim variables 4, 5, 11, 12, 17, 18; Hijmans et al.,",Global Ecology and Biogeography,Stacking species distribution models and adjusting bias by linking them to macroecological models,WorldClim
10.1111/geb.12482,species distributions and to compute mean annual temperature from the BIO1 WorldClim climatic layer (at a resolution of 2.5 arcmin; Hijmans et,Global Ecology and Biogeography,Niche width impacts vertebrate diversification,WorldClim
10.1111/icad.12232,"assessments), which were generated for each locality on the basis of the WorldClim dataset (Hijmans et al., 2005). An initial run was made with",Insect Conservation and Diversity,Designating conservation priorities for Southeast European hoverflies (Diptera: Syrphidae) based on species distribution models and species vulnerability,WorldClim
10.1111/1365-2435.12047,"Victoria; and (iii) Habitat Plants, Liﬀey, Tasmania. Climate information [WorldClim-derived climate parameters (Hijmans et al. 2005)] at each",Functional Ecology,Contrasting leaf trait scaling relationships in tropical and temperate wet forest species,WorldClim
10.1111/cobi.12103,classification. Climate Data Climate data for Turkey were obtained through WorldClim (Hijmans et al. 2005). WorldClim provides,Conservation Biology,Effect of Widespread Agricultural Chemical Use on Butterfly Diversity across Turkish Provinces,WorldClim
10.1111/j.1466-8238.2011.00716.x,"of Bignonieae species, obtained at a resolution of 10 ¥ 10 km from the WorldClim database (http://www.worldclim.org; Hijmans et al., 2005):",Global Ecology and Biogeography,Understanding bias in geographic range size estimates,WorldClim
10.1111/geb.12239,"were used in all analyses. Modern climate variables were obtained from WorldClim (Hijmans et al., 2005). The sampled area was restricted to",Global Ecology and Biogeography,"Environmental niche modelling fails to predict Last Glacial Maximum refugia: niche shifts, microrefugia or incorrect palaeoclimate estimates?",WorldClim
10.1002/ece3.2684,"Jones, & Jarvis, 2005). These climatic data were downloaded from the WorldClim database (http://www.worldclim.org/;   WAN et al.  |      1543  detailed",Ecology and Evolution,Climatic niche divergence and habitat suitability of eight alien invasive weeds in China under climate change,WorldClim
10.1080/1747423X.2017.1340525,"established for the 2012 date, but with 276 substituted 2030 climate data from WorldClim (WorldClim 2015), thus representing potential",Journal of Land Use Science,Parcels versus Pixels: Modeling agricultural land use across broad geographic regions using parcel-based field boundaries,WorldClim
10.1080/15627020.2015.1052014,"Altitude, mean annual temperature and annual rainfall were obtained from the Worldclim database at 5 arc-minutes resolution (altitude) and 10 arc-minutes",African Zoology,Temporal changes in cranial size in South African vlei rats ( Otomys ): evidence for the ‘third universal response to warming’,WorldClim
10.1080/02827581.2017.1283049,"variables (same as the future bioclimatic variables) were downloaded from the WorldClim database, and only used averaged values from 1950 to 2000",Scandinavian Journal of Forest Research,Expansion potential of invasive tree plants in ecoregions under climate change scenarios: an assessment of 54 species at a global scale,WorldClim
10.1080/17550874.2014.904951,factories  3.5 1.6 0.2 0.5 18.1 14.2 7.8 42.7 6.0 0.8 3.6 1.0  variables from the WorldClim database (Hijmans et al. 2005; WorldClim:,Plant Ecology & Diversity,Regional climate and geology affecting habitat availability for a relict plant in a plain landscape: the case of Festuca amethystina L. in Poland,WorldClim
10.1080/17550874.2013.843604,"19 bioclimatic variables related to temperature and precipitation from WorldClim version 1.4 (Hijmans et al. 2005), using the same codes (http://www.worldclim.org/bioclim),",Plant Ecology & Diversity,Climate-related variables and geographic distance affect fern species composition across a vegetation gradient in a shrinking hotspot,WorldClim
10.1002/ecs2.3169,air temperature for each locality using the bioclimatic database from WorldClim (http:// www.worldclim.org/) visualized in the software R. Data,Ecosphere,Torrent frogs have fewer macroparasites but higher rates of chytrid infection in landscapes with smaller forest cover,WorldClim
10.1111/ddi.13047,"https://doi.org/10.1111/j.1472-4642.2011.00797.x Fick, S. E., & Hijmans, R. J. (2017). WorldClim 2: New 1-km spatial resolution climate surfaces for global",Diversity and Distributions,Combining geostatistical and biotic interaction model to predict amphibian refuges under crayfish invasion across dendritic stream networks,WorldClim
10.1080/09064702.2020.1770327,"on a map of mean temperature in March. The temperature map is based on WorldClim 1.4 data; current conditions; interpolations of observed data,","Acta Agriculturae Scandinavica, Section A — Animal Science",Conservation of the dark bee ( Apis mellifera mellifera ): Estimating C-lineage introgression in Nordic breeding stocks,WorldClim
10.1002/ecy.2979,between 50-yr mean temperature at the host’s collection site extracted from WorldClim (t1; assumed host-adapted temperature) and the laboratory,Ecology,"A meta‐analysis reveals temperature, dose, life stage, and taxonomy influence host susceptibility to a fungal parasite",WorldClim
10.1016/j.ecoinf.2022.101930,"(2020), three SSP scenarios for three-time steps were used. From the Worldclim 2.1 database, bioclimatic information for various climate",Ecological Informatics,Predictive mapping of two endemic oak tree species under climate change scenarios in a semiarid region: Range overlap and implications for conservation,WorldClim
10.1016/j.ecolecon.2022.107736,"on Agriculture (LSMS-ISA) combined with historical weather data from WorldClim (Fick and Hijmans, 2017). For Malawi, we constructed a four-round",Ecological Economics,Evolution of farm-level crop diversification and response to rainfall shocks in smallholder farming: Evidence from Malawi and Tanzania,WorldClim
10.1016/j.ecoinf.2022.101683,"Britain and Ireland more generally. Bioclimatic factors, sourced from Worldclim (Hijmans et al., 2005) were also included, specifically, mean",Ecological Informatics,Dealing with non-equilibrium bias and survey effort in presence-only invasive Species Distribution Models (iSDM); predicting the range of muntjac deer in Britain and Ireland,WorldClim
10.1111/nph.15114,"herbaria, were used. All georeference locations were queried against WorldClim (Hijmans et al., 2004) 5-arc minute resolution Bioclim data",New Phytologist,Functional biogeography of angiosperms: life at the extremes,WorldClim
10.1111/jvs.12575,"sourced from Stewart & Nitschke (2017), and  annual precipitation from WorldClim grids (www.worldc lim.org). All Random Forest models were",Journal of Vegetation Science,Frequent wildfires erode tree persistence and alter stand structure and initial composition of a fire-tolerant sub-alpine forest,WorldClim
10.1016/j.quascirev.2017.10.001,"sites. Map generated by author using R (package raster); data source WorldClim (Hijmans et al., 2005). b. Annual distribution of precipitation",Quaternary Science Reviews,"Woodland vegetation history and human impacts in south-central Anatolia 16,000–6500 cal BP: Anthracological results from five prehistoric sites in the Konya plain",WorldClim
10.1111/1365-2656.12749,"web-of-life.es. Environmental data were obtained from the public repository WorldClim (version 1.4, release 3, resolution 2.5 min). Using these",Journal of Animal Ecology,Why are some plant-pollinator networks more nested than others?,WorldClim
10.1016/j.orggeochem.2017.03.008,"2006; Scott et al., 2012), (c) precipitation seasonality obtained from WorldClim 1.4 Global Climate data (1960–1990 avg.) at 1 km2 resolution",Organic Geochemistry,Hydrogen isotope fractionation of leaf wax n-alkanes in southern African soils,WorldClim
10.1111/btp.12519,highresolution 30-arc second resolution (~1 km) climate variables from the worldclim data base (Hijmans et al. 2005) to characterize the current,Biotropica,Thermal sensitivity of a Neotropical amphibian ( Engystomops pustulosus ) and its vulnerability to climate change,WorldClim
10.1111/avsc.12356,"latitude and longitude; (2) mean annual temperature and precipitation using Worldclim (Fick & Hijmans, 2017) at 1 km2 resolution grid (ArcGis 9.2);",Applied Vegetation Science,Biogeographic variability of coastal perennial grasslands at the European scale,WorldClim
10.1016/j.biocon.2016.08.021,"global projections of climate data (annual values) obtained from the WorldClim website (http://www.worldclim.org/, Hijmans et al., 2005),",Biological Conservation,Predicting shifts in the climate space of freshwater fishes in Great Britain due to climate change,WorldClim
10.1016/j.biocon.2016.04.020,"to research favouring datasets that are easy to access and use (e.g. WorldClim), rather than those that are difﬁcult to acquire and involve",Biological Conservation,Challenges in assessing the vulnerability of species to climate change to inform conservation actions,WorldClim
10.1016/j.baae.2017.04.001,"and precipitation seasonality. These variables were collected from the Worldclim database (Hijmans, Cameron, Parra, Jones, & Jarvis 2005) at",Basic and Applied Ecology,Using citizen science data to estimate climatic niches and species distributions,WorldClim
10.1016/j.ecolind.2015.06.024,"annual air temperature and annual precipitation were abstracted from the WorldClim database version 1.4 (Hijmans et al., 2005). WorldClim",Ecological Indicators,Disentangling the effects of land use and geo-climatic factors on diversity in European freshwater ecosystems,WorldClim
10.1016/j.ecolind.2018.02.008,"Average climatic conditions for pre-ﬁre (1960–1990) were available from the WorldClim dataset (Hijmans et al., 2005). Geological and soil variables",Ecological Indicators,Indicator-based assessment of post-fire recovery dynamics using satellite NDVI time-series,WorldClim
10.1016/j.ecoser.2016.12.008,"sources for the watershed of the Water Fund case study: sources are the WorldClim data (Hijmans et al., 2005) and local rain gauge data. The",Ecosystem Services,Uncertainty assessment in ecosystem services analyses: Seven challenges and practical responses,WorldClim
10.1016/j.palaeo.2017.12.004,"used in the current study (Fig. 1B). We collected climatic data from WorldClim at 2.5 min resolution (www.worldclim.org; Hijmans et al.,","Palaeogeography, Palaeoclimatology, Palaeoecology",Glacial refugia and mid-Holocene expansion delineate the current distribution of Castanea sativa in Europe,WorldClim
10.1016/j.molp.2018.01.009,"variables, we extracted a set of well-known bioclimatic variables from the WorldClim 2.0 database, using data at 10 min resolution (Fick and Hijmans,",Molecular Plant,Genomic Analyses Yield Markers for Identifying Agronomically Important Genes in Potato,WorldClim
10.1016/j.jenvman.2016.11.064,extracted from a highresolution global raster climate database from the WorldClim database (http://www.worldclim.org/). We then calculated PET,Journal of Environmental Management,Factors influencing local ecological knowledge of forage resources: Ethnobotanical evidence from West Africa's savannas,WorldClim
10.1016/j.jenvman.2017.06.021,"2014): two uncorrelated (r < 0.3) climate variables available in the WorldClim database (Hijmans et al., 2005) i.e. the minimum temperature",Journal of Environmental Management,Prioritizing conservation areas for coastal plant diversity under increasing urbanization,WorldClim
10.1111/1365-2664.13285,(Maxent) based on present occurrence records and bioclimatic variables (WorldClim). 3.  Predictions of habitat suitability vary greatly depending,Journal of Applied Ecology,"Species distribution models of the Spotted Wing Drosophila ( Drosophila suzukii , Diptera: Drosophilidae) in its native and invasive range reveal an ecological niche shift",WorldClim
10.1080/01584197.2019.1629820,csiro.au/awap) to Bioclim variables in accordance with the methodology of WorldClim (worldclim. org/methods) (VanDerWal et,Emu - Austral Ornithology,Ravens exploit wildlife roadkill and agricultural landscapes but do not affect songbird assemblages,WorldClim
10.1111/btp.12730,"forest, lower montane rain forest, and montane rain forest (ITCR, 2008). On WorldClim climate surfaces (approximately 1 km2 spatial resolution in",Biotropica,Altitude and species identity drive leaf litter decomposition rates of ten species on a 2950 m altitudinal gradient in Neotropical rain forests,WorldClim
10.1002/ece3.6086,"species. To reduce colinearity between the 16 climate variables from WorldClim database (https​://www.world​clim.org; Hijmans, Cameron, Parra,",Ecology and Evolution,The mosaic distribution pattern of two sister bush‐cricket species and the possible role of reproductive interference,WorldClim
10.2135/cropsci2019.05.0333,"plus solar radiation, water vapor pressure, and wind speed, derived from WorldClim 2 (Fick and Hijmans, 2017). Altitude was compiled from the",Crop Science,Distributions and Conservation Status of Carrot Wild Relatives in Tunisia: A Case Study in the Western Mediterranean Basin,WorldClim
