10.1080/01431161.2017.1395965,"land cover following the International Geosphere Biosphere Programme global vegetation database,",International Journal of Remote Sensing,Estimation of air temperature and reference evapotranspiration using MODIS land surface temperature over Greece,Global Vegetation Database
10.1029/2011JD015964,Fung et al. [1991] derived the global inventory of emissions using a global vegetation database and,Journal of Geophysical Research,The Australian methane budget: Interpreting surface and train-borne measurements using a chemistry transport model,Global Vegetation Database
10.1002/ece3.4836,available in ForestPlots.Net (www. forestplots.net) and through sPlot—The Global Vegetation Database. ORCID Elizabeth,Ecology and Evolution,Large‐sized rare tree species contribute disproportionately to functional diversity in resource acquisition in African tropical forest,Global Vegetation Database
10.1111/jvs.12710,S5). 2.6 | Trait information To broaden the potential applications of the global vegetation database in,Journal of Vegetation Science,sP lot – a new tool for global vegetation analyses,Global Vegetation Database
10.1111/j.0014-3820.2005.tb00955.x,"30-min level. Local vegetation data were taken from Matthews’ (1983) global vegetation database,",Evolution,"PHYLOGENETIC AND ENVIRONMENTAL COMPONENTS OF MORPHOLOGICAL VARIATION: SKULL, MANDIBLE, AND MOLAR SHAPE IN MARMOTS (MARMOTA, RODENTIA)",Global Vegetation Database
10.1007/BF00694492,"vegetations, and scaled the velocity with the amount of vegetation, using a global vegetation database (Henderson-Sellers",Journal of Atmospheric Chemistry,A three-dimensional model of the global ammonia cycle,Global Vegetation Database
10.1016/0034-4257(94)00063-S,means of measuring vegetation globally. First attempts at developing a global vegetation database illuminated,Remote Sensing of Environment,A remote sensing based vegetation classification logic for global land cover analysis,Global Vegetation Database
10.1016/0264-8377(90)90006-K,"(1:5 000 000), the Operational Navigation Charts (1:l 000 000) and a global vegetation database with",Land Use Policy,Land use related sources of greenhouse gases Present emissions and possible future trends,Global Vegetation Database
,"(greater than 1:10,000,000) vegetation maps exist for the Arctic as part of global vegetation databases",Open-File Report,Circumpolar Arctic vegetation mapping workshop,Global Vegetation Database
10.1016/j.palwor.2013.05.001,"records on the processes of the aridiﬁcation, and ﬁnally facilitate a global vegetation database that",Palaeoworld,A palynological insight into the Miocene aridification in the Eurasian interior,Global Vegetation Database
10.1016/j.mineng.2006.05.009,Engineering 19 (2006) 1138–1148  1143  (a) 4  Scores plot  (b) 20  Q residual splot  Q residuals (37.81%)  Scores on PC2 (28.61%)  2 15  0 10  -2,Minerals Engineering,Statistical monitoring of a grinding circuit: An industrial case study,sPlot
10.1111/j.1365-2621.1999.tb12284.x,"variances, and then analysis of variance was performed using a factorial split-splot design (UV dose (3) × storage interval (4 to 7) × replication",Journal of Food Science,Photochemical Treatment to Improve Storability of Fresh Strawberries,sPlot
10.1111/geb.12501,"assemble vegetation plot data to address large-scale research questions. sPlot is a research consortium compiling global vegetation plot data,",Global Ecology and Biogeography,Big data for forecasting the impacts of global change on plant communities,sPlot
10.1080/03461238.1984.10413770,because i B is strictly monotone and therefore does not display the flat splots that are characteristic of c1xM •  Appendix C PROGRAMMING LANGUAGE,Scandinavian Actuarial Journal,A Bayes estimator for ordered parameters and isotonic Bayesian graduation,sPlot
10.1111/jvs.12751,"Carolina, Chapel Hill, NC, USA  Cover photograph: Vegetation plots in the sPlot database. Photo credit: Francesco M. Sabatini. See Bruelheide",Journal of Vegetation Science,Issue Information,sPlot
